DOI,Compound_Name,IUPAC_Name,IUPAC_Name_Source,SMILES,SMILES_Source,Standard_InChIKey,Standard_InChIKey_Source,Degradation_Target,Recruiter,Assay,Cell_Line,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,Connectivity_Key
10.1016/j.apsb.2023.01.014,D10,"2-(4-(((2-(3-((3-(3-Cyanophenyl)-6-oxopyridazin-1(6H)-yl)methyl)phenyl)pyrimidin-5-yl)oxy)methyl)piperidin-1-yl)-N-(2-(2-((2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)amino)ethoxy)ethyl)acetamide",PAPER,C(#N)C=1C=C(C=CC1)C1=NN(C(C=C1)=O)CC=1C=C(C=CC1)C1=NC=C(C=N1)OCC1CCN(CC1)CC(=O)NCCOCCNC=1C=C2C(N(C(C2=CC1)=O)C1C(NC(CC1)=O)=O)=O,OPSIN,BKRHXSCTDWOIHA-UHFFFAOYSA-N,OPSIN,c-MET,CRBN,Western Blot,EBC-1,0.69 ± 0.21,nmol/L,72,>99,72.0,,BKRHXSCTDWOIHA
10.1016/j.apsb.2023.01.014,D10,"2-(4-(((2-(3-((3-(3-Cyanophenyl)-6-oxopyridazin-1(6H)-yl)methyl)phenyl)pyrimidin-5-yl)oxy)methyl)piperidin-1-yl)-N-(2-(2-((2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)amino)ethoxy)ethyl)acetamide",PAPER,C(#N)C=1C=C(C=CC1)C1=NN(C(C=C1)=O)CC=1C=C(C=CC1)C1=NC=C(C=N1)OCC1CCN(CC1)CC(=O)NCCOCCNC=1C=C2C(N(C(C2=CC1)=O)C1C(NC(CC1)=O)=O)=O,OPSIN,BKRHXSCTDWOIHA-UHFFFAOYSA-N,OPSIN,c-MET,CRBN,Western Blot,Hs746T,0.77 ± 0.11,nmol/L,72,>99,72.0,,BKRHXSCTDWOIHA
10.1016/j.apsb.2023.01.014,D14,"3-(1-(3-(5-((1-(2-(4-(2-((2-(2,6-Dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)amino)ethyl)piperazin-1-yl)-2-oxoethyl)piperidin-4-yl)methoxy)pyrimidin-2-yl)benzyl)-6-oxo-1,6-dihydropyridazin-3-yl)benzonitrile",PAPER,O=C1NC(CCC1N1C(C2=CC=C(C=C2C1=O)NCCN1CCN(CC1)C(CN1CCC(CC1)COC=1C=NC(=NC1)C=1C=C(CN2N=C(C=CC2=O)C=2C=C(C#N)C=CC2)C=CC1)=O)=O)=O,OPSIN,USNPVGJUXHCJDF-UHFFFAOYSA-N,OPSIN,c-MET,CRBN,Western Blot,EBC-1,0.83 ± 0.16,nmol/L,72,>99,72.0,,USNPVGJUXHCJDF
10.1016/j.apsb.2023.01.014,D12,"2-(4-(((2-(3-((3-(3-Cyanophenyl)-6-oxopyridazin-1(6H)-yl)methyl)phenyl)pyrimidin-5-yl)oxy)methyl)piperidin-1-yl)-N-(2-(2-(2-(2-((2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)amino)ethoxy)ethoxy)ethoxy)ethyl)acetamide",PAPER,C(#N)C=1C=C(C=CC1)C1=NN(C(C=C1)=O)CC=1C=C(C=CC1)C1=NC=C(C=N1)OCC1CCN(CC1)CC(=O)NCCOCCOCCOCCNC=1C=C2C(N(C(C2=CC1)=O)C1C(NC(CC1)=O)=O)=O,OPSIN,LJVOTWPXASNBJI-UHFFFAOYSA-N,OPSIN,c-MET,CRBN,Western Blot,EBC-1,1.7 ± 0.4,nmol/L,72,>95,72.0,,LJVOTWPXASNBJI
10.1016/j.apsb.2023.01.014,D12,"2-(4-(((2-(3-((3-(3-Cyanophenyl)-6-oxopyridazin-1(6H)-yl)methyl)phenyl)pyrimidin-5-yl)oxy)methyl)piperidin-1-yl)-N-(2-(2-(2-(2-((2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)amino)ethoxy)ethoxy)ethoxy)ethyl)acetamide",PAPER,C(#N)C=1C=C(C=CC1)C1=NN(C(C=C1)=O)CC=1C=C(C=CC1)C1=NC=C(C=N1)OCC1CCN(CC1)CC(=O)NCCOCCOCCOCCNC=1C=C2C(N(C(C2=CC1)=O)C1C(NC(CC1)=O)=O)=O,OPSIN,LJVOTWPXASNBJI-UHFFFAOYSA-N,OPSIN,c-MET,CRBN,Western Blot,Hs746T,2.7 ± 0.5,nmol/L,72,>99,72.0,,LJVOTWPXASNBJI
10.1016/j.apsb.2023.01.014,D3,"5-(4-(((2-(3-((3-(3-Cyanophenyl)-6-oxopyridazin-1(6H)-yl)methyl)phenyl)pyrimidin-5-yl)oxy)methyl)piperidin-1-yl)-N-(2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-yl)pentanamide",PAPER,C(#N)C=1C=C(C=CC1)C1=NN(C(C=C1)=O)CC=1C=C(C=CC1)C1=NC=C(C=N1)OCC1CCN(CC1)CCCCC(=O)NC1=C2C(N(C(C2=CC=C1)=O)C1C(NC(CC1)=O)=O)=O,OPSIN,UGRBBCCLXHIOQB-UHFFFAOYSA-N,OPSIN,c-MET,CRBN,Western Blot,EBC-1,3.1 ± 1.3,nmol/L,72,>95,72.0,,UGRBBCCLXHIOQB
10.1016/j.apsb.2023.01.014,D3,"5-(4-(((2-(3-((3-(3-Cyanophenyl)-6-oxopyridazin-1(6H)-yl)methyl)phenyl)pyrimidin-5-yl)oxy)methyl)piperidin-1-yl)-N-(2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-4-yl)pentanamide",PAPER,C(#N)C=1C=C(C=CC1)C1=NN(C(C=C1)=O)CC=1C=C(C=CC1)C1=NC=C(C=N1)OCC1CCN(CC1)CCCCC(=O)NC1=C2C(N(C(C2=CC=C1)=O)C1C(NC(CC1)=O)=O)=O,OPSIN,UGRBBCCLXHIOQB-UHFFFAOYSA-N,OPSIN,c-MET,CRBN,Western Blot,Hs746T,8.3 ± 1.6,nmol/L,72,>99,72.0,,UGRBBCCLXHIOQB
10.1021/acs.jmedchem.2c01149,7,"(2S,4R)-1-((2S)-2-(tert-Butyl)-20,20-difluoro-20-(2-(4-(1-(2-fluorophenyl)-2-(hydroxyamino)-2-oxoethyl)phenyl)pyrimidin-5-yl)-4-oxo-6,9,12,15,18-pentaoxa-3-azaicosan-1-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",PAPER,Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,PAPER,HCYVFIZSHJPMGM-BZWIJWRHSA-N,OPSIN + PUBCHEM,HDAC4,VHL,MSD assay,Q175 mouse cortical neuron,9,nM,24,,,,HCYVFIZSHJPMGM
10.1021/acs.jmedchem.2c01149,7,"(2S,4R)-1-((2S)-2-(tert-Butyl)-20,20-difluoro-20-(2-(4-(1-(2-fluorophenyl)-2-(hydroxyamino)-2-oxoethyl)phenyl)pyrimidin-5-yl)-4-oxo-6,9,12,15,18-pentaoxa-3-azaicosan-1-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",PAPER,Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,PAPER,HCYVFIZSHJPMGM-BZWIJWRHSA-N,OPSIN + PUBCHEM,HDAC4,VHL,MSD assay,Neuro-2a +elacridar,130,nM,,,,,HCYVFIZSHJPMGM
10.1021/acs.jmedchem.2c01149,7,"(2S,4R)-1-((2S)-2-(tert-Butyl)-20,20-difluoro-20-(2-(4-(1-(2-fluorophenyl)-2-(hydroxyamino)-2-oxoethyl)phenyl)pyrimidin-5-yl)-4-oxo-6,9,12,15,18-pentaoxa-3-azaicosan-1-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",PAPER,Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,PAPER,HCYVFIZSHJPMGM-BZWIJWRHSA-N,OPSIN + PUBCHEM,HDAC4,VHL,MSD assay,Neuro-2a -elacridar,690,nM,,,,,HCYVFIZSHJPMGM
10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",PAPER,CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN + PUBCHEM,HDAC4,VHL,MSD assay,Q175 mouse cortical neuron -elacridar,1.1,nM,,,,,KBDZFZJFGKYVBZ
10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",PAPER,CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN + PUBCHEM,HDAC4,VHL,Western Blot(Immunoblot) ,Jurkat +elacridar,1.6,nM,,,,,KBDZFZJFGKYVBZ
10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",PAPER,CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN + PUBCHEM,HDAC4,VHL,Western Blot(Immunoblot) ,Jurkat -elacridar,1.7,nM,,,,,KBDZFZJFGKYVBZ
10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",PAPER,CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN + PUBCHEM,HDAC4,VHL,Western Blot(Immunoblot) ,Jurkat E6.1,2,nM,24,,,,KBDZFZJFGKYVBZ
10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",PAPER,CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN + PUBCHEM,HDAC4,VHL,MSD assay,Neuro-2a +elacridar,2.3,nM,24,,,,KBDZFZJFGKYVBZ
10.1021/acs.jmedchem.2c01149,9,"(2S,4R)-1-((3R,20S)-20-(tert-Butyl)-3-methyl-1,18-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16-trioxa-2,5,19-triazahenicosan-21-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidin-2-carboxamide",PAPER,CCCN(CCCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,LNVXIMZTYRLPDR-UYNIEJFQSA-N,OPSIN + PUBCHEM,HDAC4,VHL,ELISA-based MSD assay,Jurkat E6.1,3,nM,24,72,24.0,,LNVXIMZTYRLPDR
10.1021/acs.jmedchem.2c01149,10,"(2S,4R)-1-((3R,23S)-23-(tert-Butyl)-3-methyl-1,21-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19-tetraoxa-2,5,22-triazatetracosan-24-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",PAPER,CCCN(CCCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,QONCFSQPRCINOK-WIIHZIRBSA-N,OPSIN + PUBCHEM,HDAC4,VHL,ELISA-based MSD assay,Jurkat E6.1,4,nM,24,85,24.0,,QONCFSQPRCINOK
10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",PAPER,CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN + PUBCHEM,HDAC4,VHL,ELISA-based MSD assay,Jurkat E6.1,4,nM,24,78,24.0,,KBDZFZJFGKYVBZ
10.1021/acs.jmedchem.2c01149,7,"(2S,4R)-1-((2S)-2-(tert-Butyl)-20,20-difluoro-20-(2-(4-(1-(2-fluorophenyl)-2-(hydroxyamino)-2-oxoethyl)phenyl)pyrimidin-5-yl)-4-oxo-6,9,12,15,18-pentaoxa-3-azaicosan-1-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",PAPER,Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,PAPER,HCYVFIZSHJPMGM-BZWIJWRHSA-N,OPSIN + PUBCHEM,HDAC4,VHL,Western Blot(Immunoblot) ,Jurkat E6.1,11,nM,24,,,,HCYVFIZSHJPMGM
10.1021/acs.jmedchem.2c01149,5,"(2S,4R)-1-((2S)-2-(tert-Butyl)-14,14-difluoro-14-(2-(4-(1-(2-fluorophenyl)-2-(hydroxyamino)-2-oxoethyl)phenyl)pyrimidin-5-yl)-4-oxo-6,9,12-trioxa-3-azatetradecan-1-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",PAPER,Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,PAPER,CUCLIKLMKDOFAE-PELIQRIMSA-N,OPSIN + PUBCHEM,HDAC4,VHL,ELISA-based MSD assay,Jurkat E6.1,28,nM,24,77,24.0,,CUCLIKLMKDOFAE
10.1021/acs.jmedchem.2c01149,7,"(2S,4R)-1-((2S)-2-(tert-Butyl)-20,20-difluoro-20-(2-(4-(1-(2-fluorophenyl)-2-(hydroxyamino)-2-oxoethyl)phenyl)pyrimidin-5-yl)-4-oxo-6,9,12,15,18-pentaoxa-3-azaicosan-1-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",PAPER,Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,PAPER,HCYVFIZSHJPMGM-BZWIJWRHSA-N,OPSIN + PUBCHEM,HDAC4,VHL,ELISA-based MSD assay,Jurkat E6.1,37,nM,24,83,24.0,,HCYVFIZSHJPMGM
