Verification_Results,DOI,Compound_Name,IUPAC_Name,SMILES,SMILES_Source,Degradation_Target,Recruiter,Assay,Cell_Line,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,Standard_InChIKey,Standard_InChIKey_Source,IUPAC_Name_Source,Connectivity_Key
True,10.1016/j.crchbi.2022.100029,Pomalidomide,"4-amino-2-(2,6-dioxopiperidin-3-yl)isoindole-1,3-dione",C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,PUBCHEM,IKZF1,Cereblon (CRBN),"NanoLuc reporter assay (IKZF1-nLuc), endpoint",HEK-293T (IKZF1-nLuc),24,nM,24,90,24,,UVSMNLNDYGZFPF-UHFFFAOYSA-N,PUBCHEM,PUBCHEM,UVSMNLNDYGZFPF
True,10.1021/acs.jmedchem.1c01496,OAB2,"2-(3-(2-(((S)-1-((2S,4R)-4-Hydroxy-2-((4-(4-methylthiazol-5-yl)benzyl)carbamoyl)pyrrolidin-1-yl)-3,3-dimethyl-1-oxobutan-2-yl)amino)-2-oxoethoxy)propoxy)ethyl 2-((S)-4-(4-Chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate",ClC1=CC=C(C=C1)C1=N[C@H](C=2N(C3=C1C(=C(S3)C)C)C(=NN2)C)CC(=O)OCCOCCCOCC(=O)N[C@H](C(=O)N2[C@@H](C[C@H](C2)O)C(NCC2=CC=C(C=C2)C2=C(N=CS2)C)=O)C(C)(C)C,OPSIN,Brd4,VHL,Western blot,HEK293,31,nM,4.0,,,,SZLZPTHXIDWXLS-AYWQWSHZSA-N,OPSIN,,SZLZPTHXIDWXLS
True,10.1021/acs.jmedchem.1c01496,ARV-771,"(2S,4R)-1-[(2S)-2-[[2-[3-[2-[[2-[(9S)-7-(4-chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.02,6]trideca-2(6),4,7,10,12-pentaen-9-yl]acetyl]amino]ethoxy]propoxy]acetyl]amino]-3,3-dimethylbutanoyl]-4-hydroxy-N-[(1S)-1-[4-(4-methyl-1,3-thiazol-5-yl)phenyl]ethyl]pyrrolidine-2-carboxamide",CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)NCCOCCCOCC(=O)N[C@H](C(=O)N4C[C@@H](C[C@H]4C(=O)N[C@@H](C)C5=CC=C(C=C5)C6=C(N=CS6)C)O)C(C)(C)C)C7=CC=C(C=C7)Cl)C,PUBCHEM,Brd3,VHL,Western blot,HEK293,47,nM,4.0,,,,PQOGZKGXGLHDGS-QQRWPDCKSA-N,PUBCHEM,PUBCHEM,PQOGZKGXGLHDGS
True,10.1021/acs.jmedchem.1c02179,1,"N1-(4-((2-Aminophenyl)carbamoyl)phenyl)-N12-((S)-1-((2S,4R)-4-hydroxy-2-((4-(4-methylthiazol-5-yl)benzyl)carbamoyl)pyrrolidin-1-yl)-3,3-dimethyl-1-oxobutan-2-yl)dodecanediamide",O=C(Nc1ccc(cc1)C(=O)Nc1ccccc1N)CCCCCCCCCCC(=O)N[C@@H](C(C)(C)C)C(=O)N1C[C@@H](C[C@H]1C(=O)NCc1ccc(cc1)c1scnc1C)O,PAPER,HDAC3,VHL,quantitative western blotting,HCT116,,,,18,24,,AQIQXAQNDASVRZ-IPQHXDNUSA-N,OPSIN,,AQIQXAQNDASVRZ
True,10.1021/acs.jmedchem.2c00384,6d,"2-(4-(4-(3-Benzyl-1-((1r,4r)-4-((5-cyanopyridin-2-yl)amino)cyclohexyl)ureido)phenyl)piperazin-1-yl)-N-(2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)acetamide",O=C(NCC1=CC=CC=C1)N(C2=CC=C(N3CCN(CC(NC4=CC(C(N(C5CCC(NC5=O)=O)C6=O)=O)=C6C=C4)=O)CC3)C=C2)[C@H]7CC[C@H](NC8=CC=C(C#N)C=N8)CC7,PAPER,CDK13,CRBN,immunoblotting,MDA-MB-231,7.1,nM,15,,,,RAQFFJNNGHFOJQ-UHFFFAOYSA-N,PUBCHEM,,RAQFFJNNGHFOJQ
True,10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,HDAC4,VHL,Western blot (+elacridar pretreatment),SH-SY5Y,<1,nM,,,,,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN,,KBDZFZJFGKYVBZ
True,10.1021/acs.jmedchem.3c00912,PIK5-12d,"N1-((S)-1-((2S,4R)-4-Hydroxy-2-((4-(4-methylthiazol-5-yl)benzyl)carbamoyl)pyrrolidin-1-yl)-3,3-dimethyl-1-oxobutan-2-yl)-N6-(4-(2-((4-(2-((E)-3-methylbenzylidene)hydrazineyl)-6-morpholinopyrimidin-2-yl)oxy)ethyl)phenyl)adipamide",CC1=CC=CC(/C=N/NC2=NC(OCCC(C=C3)=CC=C3NC(CCCCC(N[C@@H](C(C)(C)C)C(N4[C@H](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@H](O)C4)=O)=O)=O)=NC(N7CCOCC7)=C2)=C1,PAPER,PIKfyve,VHL,immunoblotting (western blot),VCaP,1.47,nM,24,97.9,24,,BQGREFVYIDLIFJ-CATAWDBESA-N,OPSIN,,BQGREFVYIDLIFJ
True,10.1021/acs.jmedchem.6b01912,7,,,,Brd4 short,VHL,Western blot (immunoblot) densitometry,HeLa,3.98,nM,24 h,99,,,,,,
True,10.1021/acs.jmedchem.6b01912,6,,,,Brd4 short,VHL,Western blot (immunoblot) densitometry,HeLa,7.94,nM,24 h,98,,,,,,
True,10.1021/acs.jmedchem.6b01912,6,,,,Brd3,VHL,Western blot (immunoblot) densitometry,HeLa,100,nM,24 h,100,,,,,,
True,10.1021/acs.jmedchem.6b01912,10,"(2S,4R)-1-((S)-1-(4-((2S,4R)-1-Acetyl-4-((4-chlorophenyl)amino)-2-methyl-1,2,3,4-tetrahydroquinolin-6-yl)phenyl)-18-(tert-butyl)-1,16-dioxo-5,8,11,14-tetraoxa-2,17-diazanonadecan-19-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",C(C)(=O)N1[C@H](C[C@H](C2=CC(=CC=C12)C1=CC=C(C=C1)C(NCCOCCOCCOCCOCC(N[C@H](C(=O)N1[C@@H](C[C@H](C1)O)C(=O)NCC1=CC=C(C=C1)C1=C(N=CS1)C)C(C)(C)C)=O)=O)NC1=CC=C(C=C1)Cl)C,OPSIN,Brd4 short,VHL,Western blot (immunoblot) densitometry,HeLa,7.94,nM,24 h,95,,,UHWNJFZTYJNBAN-HYXXSBGTSA-N,OPSIN,,UHWNJFZTYJNBAN
"False, Inference",10.1021/acschembio.5b00216,MZ2,"(2S,4R)-1-((S)-2-(tert-butyl)-20-((S)-4-(4-chlorophenyl)-2,3,9-trimethyl-6H-thieno[3,2 f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)-4,19-dioxo-6,9,12,15-tetraoxa-3,18-diazaicosanoyl)- 4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",C/C(=C\C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](CN(CC2=CC=CS2)S(=O)(=O)C3=C(C=C(C(=C3)F)F)F)O)/C(F)(F)F,PUBCHEM,BRD4,VHL,Western blot,HeLa,,,,100.0,24.0,1 μM,ZDEYHQOBNVRHPY-POAKBVNNSA-N,PUBCHEM,,ZDEYHQOBNVRHPY
True,10.1021/jacs.9b13907,NC-1,"4-(((E)-19-((S)-3-(4-amino-3-(4-phenoxyphenyl)-1H-pyrazolo[3,4-d]pyrimidin-1-yl)-19-oxo-3,6,9,12-tetraoxanonadec-17-en-1-yl)oxy)-2-(2,6-dioxopiperidin-3-yl)isoindoline-1,3-dione",C1C[C@H](CN(C1)C(=O)CCCCCCOCCOCCOCCOCCOC2=CC=CC3=C2C(=O)N(C3=O)C4CCC(=O)NC4=O)N5C6=NC=NC(=C6C(=N5)C7=CC=C(C=C7)OC8=CC=CC=C8)N,PUBCHEM,BTK,CRBN,Western blot,primary CLL cells,<100,nM,18,,,,QSLUWEWRUWTRBT-QQKHLPPFSA-N,PUBCHEM,,QSLUWEWRUWTRBT
True,10.1038/s41467-018-08027-7,SJF-6685,"N-(3-Fluoro-4-((7-(3-(3-(3-(2-(((2S,4R)-4-hydroxy-1-((S)-3-methyl-2-(1-oxoisoindolin-2-yl)butanoyl)pyrrolidine-2-carboxamido)methyl)-5-(4-methylthiazol-5-yl)phenoxy)propoxy)-propoxy)propoxy)-6-methoxyquinolin-4-yl)oxy)phenyl)-N-(4-fluorophenyl)cyclopropane-1,1-dicarboxamide",FC=1C=C(C=CC1OC1=CC=NC2=CC(=C(C=C12)OC)OCCCOCCCOCCCOC1=C(C=CC(=C1)C1=C(N=CS1)C)CNC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)C)N1C(C2=CC=CC=C2C1)=O)=O)N(C(=O)C1(CC1)C(=O)N)C1=CC=C(C=C1)F,OPSIN,p38δ,VHL,Western blot (immunoblot) dose–response quantification,MDA-MB-231,1140 ± 1950,nM,,33.5±27.2,,,HTPQHJWNNUESBZ-LVSOZEIGSA-N,OPSIN,,HTPQHJWNNUESBZ
True,10.1038/s41467-018-08027-7,SJF-8240,"N-(3-Fluoro-4-((7-(3-(3-(3-(((S)-1-((2S,4R)-4-hydroxy-2-((4-(4-methylthiazol-5-yl)benzyl)carbamoyl)-pyrrolidin-1-yl)-3,3d-imethyl-1-oxobutan-2-yl)amino)-3-oxopropoxy)propoxy)propoxy)-6-methoxyquinolin-4-yl)oxy)phenyl)-N-(4-fluorophenyl)cyclopropane-1,1-dicarboxamide",CC1=C(SC=N1)C2=CC=C(C=C2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)CCOCCCOCCCOC4=CC5=NC=CC(=C5C=C4OC)OC6=C(C=C(C=C6)NC(=O)C7(CC7)C(=O)NC8=CC=C(C=C8)F)F)O,PUBCHEM,p38δ,VHL,Western blot (immunoblot) dose–response quantification,MDA-MB-231,456 ± 362,nM,,54.3±11.8,,,SCUZPTNDZHEHLB-ZWUDBOSPSA-N,PUBCHEM,,SCUZPTNDZHEHLB
True,10.1038/s41467-022-33430-6,22,"(2S,4R)-N-(2-(2-(2-(2-(2-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2 a]quinazolin-9-yl)piperidin-1-yl)ethoxy)ethoxy)ethoxy)ethoxy)-4-(4-methylthiazol-5-yl)benzyl)-1-((S)- 2-(1-fluorocyclopropane-1-carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",,,SMARCA2,VHL,capillary electrophoresis,RKO,175±165,nM,4,71±25,4,,,,,
True,10.1038/s41467-022-33430-6,11,"(2S,4R)-N-((S)-6-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9 yl)piperidin-1-yl)-1-(4-(4-methylthiazol-5-yl)phenyl)hexyl)-1-((S)-2-(1-fluorocyclopropane-1 carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)CCCCC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)=O,OPSIN,SMARCA2,VHL,capillary electrophoresis,NCI-H1568,8±4,nM,4,90±0.3,4,,NWAHMEWTPAKOEQ-UQZDYNHJSA-N,OPSIN,,NWAHMEWTPAKOEQ
True,10.1038/s41467-022-33430-6,30,"(2S,4R)-N-((1S,4S)-6-(4-(4-bromo-7-cyclopentyl-5-oxo-5,7-dihydrobenzo[4,5]imidazo[1,2-a]quinazolin-9-yl)piperidin-1-yl)-4-methyl-1-(4-(4-methylthiazol-5-yl)phenyl)hexyl)-1-((S)-2-(1 fluorocyclopropanecarboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=2C(N=C3N(C2C=CC1)C1=C(N3C3CCCC3)C=C(C=C1)C1CCN(CC1)CC[C@H](CC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)[C@H]1N(C[C@@H](C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O)C)=O,OPSIN,SMARCA4,VHL,capillary electrophoresis,RKO,73±35,nM,18,72±7,18,,JBTHUOYYUUPUOZ-LIHPQFRDSA-N,OPSIN,,JBTHUOYYUUPUOZ
True,10.1038/s41467-022-33430-6,28,"N-[(1R)-2-{[1-(4-{6-bromo-11-cyclopentyl-8-oxo-1,9,11-triazatetracyclo[8.7.0.0²,⁷.0¹²,¹⁷]heptadeca-2,4,6,9,12,14,16-heptaen-14-yl}piperidin-1-yl)-2-methylpropan-2-yl]oxy}-1-[4-(4-methyl-1,3-thiazol-5-yl)phenyl]ethyl]-1-[(2S)-2-[(1-fluorocyclopropyl)formamido]-3,3-dimethylbutanoyl]-4-hydroxypyrrolidine-2-carboxamide",BrC=1C=CC=C2N3C4=CC=C(C=C4N(C3=NC(C12)=O)C1CCCC1)C1CCN(CC1)CC(C)(C)OC[C@@H](C1=CC=C(C=C1)C1=C(N=CS1)C)NC(=O)C1N(CC(C1)O)C([C@H](C(C)(C)C)NC(=O)C1(CC1)F)=O,OPSIN,SMARCA4,VHL,capillary electrophoresis,RKO,159±57,nM,18,14±42,18,,YNDPJZDTERTRMN-XMIJWXHRSA-N,OPSIN,,YNDPJZDTERTRMN
True,10.1038/s41467-022-34562-5,A947,"(2S,4R)-1-((2R)-2-(3-(4-((4-((1r,3r)-3-((4-(3-(3-Amino-6-(2-hydroxyphenyl)pyridazin-4-yl)-3,8 diazabicyclo[3.2.1]octan-8-yl)pyridin-2-yl)oxy)cyclobutoxy)piperidin-1-yl)methyl)piperidin-1-yl)isoxazol-5-yl)-3 methylbutanoyl)-4-hydroxy-N-((S)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)pyrrolidine-2-carboxamide",CC1=C(SC=N1)C2=CC=C(C=C2)[C@H](C)NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](C4=CC(=NO4)N5CCC(CC5)CN6CCC(CC6)OC7CC(C7)OC8=NC=CC(=C8)N9C1CCC9CN(C1)C1=CC(=NN=C1N)C1=CC=CC=C1O)C(C)C)O,PUBCHEM,PBRM1,VHL,Licor-quantification of Western blots,NCI-H1355,0.8661,nM,,,,,QQVCUSPUMMUFTD-NCXNEFEISA-N,PUBCHEM,,QQVCUSPUMMUFTD
True,10.1038/s41467-023-44237-4,VZ185,"(2S,4R)-N-[[2-[5-[4-[[2,6-dimethoxy-4-(2-methyl-1-oxo-2,7-naphthyridin-4-yl)phenyl]methyl]piperazin-1-yl]pentoxy]-4-(4-methyl-1,3-thiazol-5-yl)phenyl]methyl]-1-[(2S)-2-[(1-fluorocyclopropanecarbonyl)amino]-3,3-dimethylbutanoyl]-4-hydroxypyrrolidine-2-carboxamide",CC1=C(SC=N1)C2=CC(=C(C=C2)CNC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)C4(CC4)F)O)OCCCCCN5CCN(CC5)CC6=C(C=C(C=C6OC)C7=CN(C(=O)C8=C7C=CN=C8)C)OC,PUBCHEM,BRD9,VHL,HiBiT luminescence,HEK293/BRD9-HiBiT,32,nM,2,,,,ZAGCLFXBHOXXEN-JPTLTNPLSA-N,PUBCHEM,PUBCHEM,ZAGCLFXBHOXXEN
True,10.1038/s41467-023-44237-4,DBt-10,,,,BTK,DCAF1,flow cytometry (BTK-GFP/mCherry ratiometric),TMD8 BTK-GFP/mCh,136.9,nM,24,94,24,,,,,
False,10.1038/s41589-019-0294-6,2,"(2S,4R)-N-(2-(4-(4-(3-amino-6-(2-hydroxyphenyl)pyridazin-4-yl)piperazin-1-yl)phenethoxy)-4-(4-methylthiazol-5-yl)benzyl)-1-((S)-2-(1-fluorocyclopropane-1-carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",NC=1N=NC(=CC1N1CCN(CC1)C1=CC=C(CCOC2=C(CNC(=O)[C@H]3N(C[C@@H](C3)O)C([C@H](C(C)(C)C)NC(=O)C3(CC3)F)=O)C=CC(=C2)C2=C(N=CS2)C)C=C1)C1=C(C=CC=C1)O,OPSIN,PBRM1,VHL,,MV-4-11,280,nM,18,70,18,,MOXKYEDQHXRZAN-LNZHUCSUSA-N,OPSIN,,MOXKYEDQHXRZAN
True,10.1038/s41589-019-0294-6,ACBI1,"(2S,4R)-N-(2-(2-(4-((4-(3-amino-6-(2-hydroxyphenyl)pyridazin-4-yl)piperazin-1-yl)methyl)phenoxy)ethoxy)-4-(4-methylthiazol-5-yl)benzyl)-1-((S)-2-(1-fluorocyclopropane-1-carboxamido)-3,3-dimethylbutanoyl)-4-hydroxypyrrolidine-2-carboxamide",NC=1N=NC(=CC1N1CCN(CC1)CC1=CC=C(OCCOC2=C(CNC(=O)[C@H]3N(C[C@@H](C3)O)C([C@H](C(C)(C)C)NC(=O)C3(CC3)F)=O)C=CC(=C2)C2=C(N=CS2)C)C=C1)C1=C(C=CC=C1)O,OPSIN,SMARCA2,VHL,capillary electrophoresis (WES),SK-MEL-5,13,nM,18,,,,IVARZBJJMMUJHI-SQKKEFIPSA-N,OPSIN,,IVARZBJJMMUJHI
"Inference, False",10.1039/d3sc04541b,TP1L,"[[4-[(2S)-3-[[(2S)-1-[2-[3-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-4-yl]amino]-3-oxopropoxy]ethylamino]-6-[(4-ethylbenzoyl)amino]-1-oxohexan-2-yl]amino]-2-[[(2S)-2-[[2-[(1S,2R,5S)-5-methyl-2-propan-2-ylcyclohexyl]oxyacetyl]amino]-3-phenylpropanoyl]amino]-3-oxopropyl]phenyl]-difluoromethyl]phosphonic acid",CCC1=CC=C(C=C1)C(=O)NCCCC[C@@H](C(=O)NCCOCCC(=O)NC2=CC=CC3=C2CN(C3=O)C4CCC(=O)NC4=O)NC(=O)[C@H](CC5=CC=C(C=C5)C(F)(F)P(=O)(O)O)NC(=O)[C@H](CC6=CC=CC=C6)NC(=O)CO[C@H]7C[C@H](CC[C@@H]7C(C)C)C,PUBCHEM,TC-PTP,CRBN,Western blot,HEK293,,,,>95,16,1 μM,TYEKCBCNQAFGHN-QSITVTTKSA-N,PUBCHEM,PUBCHEM,TYEKCBCNQAFGHN
"False, Inference",10.1039/d3sc04541b,TP8L,,,,TC-PTP,CRBN,Western blot,HEK293,,,,<5,16,1 μM,,,,
True,10.1111/cas.15733,PRO-6 E,,,,MET,CRBN,Western blot,MKN-45,,,,81.9,,1 μM,,,,
True,10.1111/cas.15733,PRO-6 E,,,,MET,CRBN,Western blot,MKN-45,203,nM,48,82.8,48,,,,,
False,10.5812/ijpr-129251,2,,,,IMPDH,CRBN,Western blot,Jurkat,,,,90,24.0,0.5 μM,,,,
True,10.7554/eLife.45457,QC-01–175,"N-[2-[2-[2-[[2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindol-4-yl]amino]ethoxy]ethoxy]ethyl]-3-(5H-pyrido[4,3-b]indol-7-yl)propanamide",C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)NCCOCCOCCNC(=O)CCC4=CC5=C(C=C4)C6=C(N5)C=CN=C6,PUBCHEM,Tau (P-tau S396),CRBN,ELISA,FTD19-L5-RC6 (tau-A152T),,,,80,4,100 nM,NWTCZTAQSRLSCP-UHFFFAOYSA-N,PUBCHEM,PUBCHEM,NWTCZTAQSRLSCP
