Verification_Results,DOI,Compound_Name,IUPAC_Name,SMILES,SMILES_Source,Degradation_Target,Recruiter,Assay,Cell_Line,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,Standard_InChIKey,Standard_InChIKey_Source,IUPAC_Name_Source,Connectivity_Key
True,10.1021/acs.jmedchem.1c02175,13b,"(S)-10-((5-chloro-2-((3S,5S)-3-hydroxy-5-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",ClC=1C(=NC(=NC1)N1C[C@H](C[C@@H](C1)C)O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,BCL6,SIAH1,MSD degrader assay,OCI-Ly1,>2000,nM,,<30,,,GSGDUDAFETZSPM-ODIUBACGSA-N,OPSIN,,GSGDUDAFETZSPM
True,10.1021/acs.jmedchem.1c02175,14b,"(S)-10-((5-chloro-2-((S)-3-hydroxypiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",ClC=1C(=NC(=NC1)N1C[C@H](CCC1)O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,BCL6,SIAH1,MSD degrader assay,OCI-Ly1,>2000,nM,,<30,,,JUMCUPDSIABGSG-BTYIYWSLSA-N,OPSIN,,JUMCUPDSIABGSG
True,10.1021/acs.jmedchem.1c02175,CCT373567,"(S)-10-((5-Chloro-2-((3S,5R)-3-hydroxy-5-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",ClC=1C(=NC(=NC1)N1C[C@H](C[C@H](C1)C)O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,BCL6,SIAH1,MSD degrader assay,Karpas 422,>2000,nM,,,,,GSGDUDAFETZSPM-DHZVRSILSA-N,OPSIN,,GSGDUDAFETZSPM
True,10.1021/acs.jmedchem.1c02175,CCT373567,"(S)-10-((5-Chloro-2-((3S,5R)-3-hydroxy-5-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",ClC=1C(=NC(=NC1)N1C[C@H](C[C@H](C1)C)O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,BCL6,SIAH1,MSD degrader assay,OCI-Ly1,>2000,nM,,>30,,,GSGDUDAFETZSPM-DHZVRSILSA-N,OPSIN,,GSGDUDAFETZSPM
True,10.1021/acs.jmedchem.3c00851,43h,"4-[4-[[[2-[(9S)-7-(4-Chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.02,6]trideca-2(6),4,7,10,12-pentaen-9-yl]acetyl]amino]methyl]-1-piperidyl]-N-(2,6-dioxo-3-piperidyl)-2-fluorobenzamide",O=C(NC(CC1)C(NC1=O)=O)C2=CC=C(N3CCC(CNC(C[C@@H]4N=C(C5=CC=C(Cl)C=C5)C6=C(SC(C)=C6C)N7C(C)=NN=C47)=O)CC3)C=C2F,PAPER,BRD4,CRBN,Western blot densitometry,MOLT4,4.7,nM,24 h,>99,24 h,,NTNMFROSEFWETI-XIJSCUBXSA-N,OPSIN,,NTNMFROSEFWETI
True,10.1021/acs.jmedchem.3c00851,51,"N-(2,6-Dioxo-3-piperidyl)-4-[[2-[[8-[4-[[7-(hydroxyamino)-7-oxo-heptyl]carbamoyl] anilino]-8-oxooctyl]amino]-2-oxoethyl]amino]-2-methoxybenzamide",O=C(NC(CC1)C(NC1=O)=O)C2=CC=C(NCC(NCCCCCCCC(NC3=CC=C(C(NCCCCCCC(NO)=O)=O)C=C3)=O)=O)C=C2OC,PAPER,HDAC6,CRBN,Western blot densitometry,MM.1S,5.8,nM,24 h,,,,YACBBDOEMCACOF-UHFFFAOYSA-N,OPSIN,,YACBBDOEMCACOF
True,10.1021/acs.jmedchem.3c00851,dBET57,"2-[(9S)-7-(4-chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.02,6]trideca-2(6),4,7,10,12-pentaen-9-yl]-N-[2-[[2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindol-4-yl]amino]ethyl]acetamide",O=C(NCCNC1=CC=CC(C(N2C(CC3)C(NC3=O)=O)=O)=C1C2=O)C[C@H]4C5=NN=C(C)N5C6=C(C(C)=C(C)S6)C(C7=CC=C(Cl)C=C7)=N4,PAPER,BRD4,CRBN,Western blot densitometry,MOLT4,11,nM,24 h,,,,CZRLOIDJCMKJHE-UXMRNZNESA-N,PUBCHEM,PUBCHEM,CZRLOIDJCMKJHE
True,10.1021/acs.jmedchem.3c00851,A6,"4-[8-[[2-[2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindol-4-yl]oxyacetyl]amino]octanoylamino]-N-[7-(hydroxyamino)-7-oxoheptyl]benzamide",O=C(C1=CC=C(C=C1)NC(CCCCCCCNC(COC2=CC=CC(C(N3C4CCC(NC4=O)=O)=O)=C2C3=O)=O)=O)NCCCCCCC(NO)=O,PAPER,HDAC6,CRBN,Western blot densitometry,MM.1S,6.5,nM,24 h,,,,FQLCLMHMOFLVSV-UHFFFAOYSA-N,PUBCHEM,PUBCHEM,FQLCLMHMOFLVSV
True,10.1021/acs.jmedchem.3c00851,44h,"4-[4-[[[2-[(9S)-7-(4-Chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.02,6]trideca-2(6),4,7,10,12-pentaen-9-yl]acetyl]amino]methyl]-1-piperidyl]-N-(2,6-dioxo-3-piperidyl)-2-methoxybenzamide",O=C(NC(CC1)C(NC1=O)=O)C2=CC=C(N3CCC(CNC(C[C@@H]4N=C(C5=CC=C(Cl)C=C5)C6=C(SC(C)=C6C)N7C(C)=NN=C47)=O)CC3)C=C2OC,PAPER,BRD4,CRBN,Western blot densitometry,MOLT4,0.59,nM,24 h,>99,24 h,,BIVJJLVZJPBUMK-XIJSCUBXSA-N,OPSIN,,BIVJJLVZJPBUMK
"False, Dmax",10.1021/acs.jmedchem.9b00454,7f,"N-(2,5-dioxopyrrolidin-3-yl)cinnamamide",O=C(/C=C/c1ccccc1)NC2CC(=O)NC2=O,PAPER,IKZF3,CRBN,Immunoblot (Western blot),OPM-2,,,,~40,24.0,100 μM,NSEUGMATEWSNTO-UHFFFAOYSA-N,OPSIN,,NSEUGMATEWSNTO
"False, Dmax",10.1021/acs.jmedchem.9b00454,7d,"Benzyl (2,5-dioxopyrrolidin-3-yl)carbamate",O=C2CC(NC(=O)OCc1ccccc1)C(=O)N2,PAPER,IKZF3,CRBN,Immunoblot (Western blot),OPM-2,,,,~20,24.0,100 μM,QRQMHYISDDHZBY-UHFFFAOYSA-N,OPSIN,,QRQMHYISDDHZBY
"False, Dmax",10.1021/acs.jmedchem.9b00454,5a,"4-Amino-2-(2,5-dioxopyrrolidin-3-yl)isoindoline-1,3-dione",Nc2cccc3c(=O)n(C1CC(=O)NC1=O)c(=O)c23,PAPER,IKZF3,CRBN,Immunoblot (Western blot),OPM-2,,,,~40,24.0,100 μM,MSHTVRYXGFREAN-UHFFFAOYSA-N,OPSIN,,MSHTVRYXGFREAN
"False, Dmax",10.1021/acs.jmedchem.9b00454,lenalidomide,"3-(7-amino-3-oxo-1H-isoindol-2-yl)piperidine-2,6-dione",C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,PUBCHEM,IKZF3,CRBN,Immunoblot (Western blot),OPM-2,,,,100,24.0,100 μM,GOTYRUGSSMKFNF-UHFFFAOYSA-N,PUBCHEM,PUBCHEM,GOTYRUGSSMKFNF
True,10.1021/acsmedchemlett.4c00250,16,"N-(2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)-3-fluorobenzamide",O=C1NC(CCC1N1C(C2=CC=C(C=C2C1)NC(C1=CC(=CC=C1)F)=O)=O)=O,OPSIN,IKZF1,CRBN,IKZF1-HiBiT kinetic degradation assay,Jurkat,> 10000,nM,,,,,IKDBDJNITQUCOU-UHFFFAOYSA-N,OPSIN,,IKDBDJNITQUCOU
True,10.1021/acsmedchemlett.4c00250,19,"N-(2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)-3-methoxybenzamide",O=C1NC(CCC1N1C(C2=CC=C(C=C2C1)NC(C1=CC(=CC=C1)OC)=O)=O)=O,OPSIN,IKZF1,CRBN,IKZF1-HiBiT kinetic degradation assay,Jurkat,> 10000,nM,,,,,MNOPHTXOYIDKKA-UHFFFAOYSA-N,OPSIN,,MNOPHTXOYIDKKA
True,10.1021/acsmedchemlett.4c00250,24,"3-(5-((1-methyl-1H-indazol-3-yl)amino)-1-oxoisoindolin-2-yl)piperidine-2,6-dione",CN1N=C(C2=CC=CC=C12)NC=1C=C2CN(C(C2=CC1)=O)C1C(NC(CC1)=O)=O,OPSIN,IKZF1,CRBN,IKZF1-HiBiT kinetic degradation assay,Jurkat,> 10000,nM,,,,,JYSJONUYZGMXLG-UHFFFAOYSA-N,OPSIN,,JYSJONUYZGMXLG
True,10.1021/acsmedchemlett.4c00250,16,"N-(2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)-3-fluorobenzamide",O=C1NC(CCC1N1C(C2=CC=C(C=C2C1)NC(C1=CC(=CC=C1)F)=O)=O)=O,OPSIN,GSPT1,CRBN,GSPT1-HiBiT endpoint degradation assay,HEK293,> 10000,nM,24,,,,IKDBDJNITQUCOU-UHFFFAOYSA-N,OPSIN,,IKDBDJNITQUCOU
True,10.1021/acsmedchemlett.4c00250,22,"3-(5-(benzo[d]oxazol-2-ylamino)-1-oxoisoindolin-2-yl)piperidine-2,6-dione",O1C(=NC2=C1C=CC=C2)NC=2C=C1CN(C(C1=CC2)=O)C2C(NC(CC2)=O)=O,OPSIN,GSPT1,CRBN,GSPT1-HiBiT endpoint degradation assay,HEK293,> 10000,nM,24,,,,WZMBCEZSOXUGFF-UHFFFAOYSA-N,OPSIN,,WZMBCEZSOXUGFF
True,10.1021/acsmedchemlett.4c00250,15,"N-(2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)-2-methylbenzamide",O=C1NC(CCC1N1C(C2=CC=C(C=C2C1)NC(C1=C(C=CC=C1)C)=O)=O)=O,OPSIN,GSPT1,CRBN,GSPT1-HiBiT endpoint degradation assay,HEK293,> 10000,nM,24,,,,YDKGAFLLEDYAIB-UHFFFAOYSA-N,OPSIN,,YDKGAFLLEDYAIB
True,10.1021/acsmedchemlett.4c00250,15,"N-(2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)-2-methylbenzamide",O=C1NC(CCC1N1C(C2=CC=C(C=C2C1)NC(C1=C(C=CC=C1)C)=O)=O)=O,OPSIN,IKZF1,CRBN,IKZF1-HiBiT kinetic degradation assay,Jurkat,> 10000,nM,,,,,YDKGAFLLEDYAIB-UHFFFAOYSA-N,OPSIN,,YDKGAFLLEDYAIB
True,10.1021/acsmedchemlett.4c00250,12,"N-(2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindolin-5-yl)-4-methylbenzamide",O=C1NC(CCC1N1C(C2=CC=C(C=C2C1=O)NC(C1=CC=C(C=C1)C)=O)=O)=O,OPSIN,IKZF1,CRBN,IKZF1-HiBiT kinetic degradation assay,Jurkat,> 10000,nM,,,,,IVMUUHKIZMAKOC-UHFFFAOYSA-N,OPSIN,,IVMUUHKIZMAKOC
True,10.1021/acsmedchemlett.4c00250,20,"3-(5-(imidazo[1,2-a]pyridin-3-ylamino)-1-oxoisoindolin-2-yl)piperidine-2,6-dione",N=1C=C(N2C1C=CC=C2)NC=2C=C1CN(C(C1=CC2)=O)C2C(NC(CC2)=O)=O,OPSIN,IKZF1,CRBN,IKZF1-HiBiT kinetic degradation assay,Jurkat,> 10000,nM,,,,,BSDDYEGUSIPCLX-UHFFFAOYSA-N,OPSIN,,BSDDYEGUSIPCLX
True,10.1021/acsmedchemlett.4c00250,10,"N-(2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)-N-methylbenzamide",O=C1NC(CCC1N1C(C2=CC=C(C=C2C1)N(C(C1=CC=CC=C1)=O)C)=O)=O,OPSIN,IKZF1,CRBN,IKZF1-HiBiT kinetic degradation assay,Jurkat,> 10000,nM,,,,,MYMJVTWBKDUFPG-UHFFFAOYSA-N,OPSIN,,MYMJVTWBKDUFPG
True,10.1021/acsmedchemlett.4c00250,18,"3-cyano-N-(2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)benzamide",C(#N)C=1C=C(C(=O)NC=2C=C3CN(C(C3=CC2)=O)C2C(NC(CC2)=O)=O)C=CC1,OPSIN,IKZF1,CRBN,IKZF1-HiBiT kinetic degradation assay,Jurkat,> 10000,nM,,,,,LRPSTRPEQAKYBN-UHFFFAOYSA-N,OPSIN,,LRPSTRPEQAKYBN
True,10.1021/acsmedchemlett.4c00250,14,"N-(2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)-4-methylbenzamide",O=C1NC(CCC1N1C(C2=CC=C(C=C2C1)NC(C1=CC=C(C=C1)C)=O)=O)=O,OPSIN,IKZF1,CRBN,IKZF1-HiBiT kinetic degradation assay,Jurkat,> 10000,nM,,,,,XHFMAWKVKSEQSG-UHFFFAOYSA-N,OPSIN,,XHFMAWKVKSEQSG
True,10.1021/acsmedchemlett.4c00250,13,,,,IKZF1,CRBN,IKZF1-HiBiT kinetic degradation assay,Jurkat,> 10000,nM,,,,,,,,
True,10.1021/jacs.3c08307,13-7,,,,BRD9,VHL,HiBiT degradation assay (+ MLN4924),HEK293T,2300.0,nM,15,,,,,,,
"False, EC50",10.1038/s41420-023-01754-x,SR-4835,"N-[(5,6-dichloro-1H-benzimidazol-2-yl)methyl]-9-(1-methylpyrazol-4-yl)-2-morpholin-4-ylpurin-6-amine",CN1C=C(C=N1)N2C=NC3=C(N=C(N=C32)N4CCOCC4)NCC5=NC6=CC(=C(C=C6N5)Cl)Cl,PUBCHEM,cyclin K,DDB1 (CRL4B),Immunoblot densitometry of cyclin K levels,A375,112,nM,2.0,,,,FSELUFUYNUNZKD-UHFFFAOYSA-N,PUBCHEM,PUBCHEM,FSELUFUYNUNZKD
"False, EC50",10.1038/s41420-023-01754-x,CU-0905,"9H-Purin-6-amine, N-[(6,7-difluoro-1H-benzimidazol-2-yl)methyl]-9-(1-methyl-1H-pyrazol-4-yl)-2-(4-morpholinyl)-",FC=1C=CC2=C(NC(=N2)CNC2=C3N=CN(C3=NC(=N2)N2CCOCC2)C=2C=NN(C2)C)C1F,OPSIN,cyclin K,DDB1 (CRL4B),Immunoblot densitometry of cyclin K levels,A375,241,nM,2.0,,,,YEKKFBQFUXNWHX-UHFFFAOYSA-N,OPSIN,,YEKKFBQFUXNWHX
"False, EC50",10.1038/s41420-023-01754-x,CU-0904,"9H-Purin-6-amine, N-[(5,6-difluoro-1H-benzimidazol-2-yl)methyl]-9-(1-methyl-1H-pyrazol-4-yl)-2-(4-morpholinyl)-",FC1=CC2=C(NC(=N2)CNC2=C3N=CN(C3=NC(=N2)N2CCOCC2)C=2C=NN(C2)C)C=C1F,OPSIN,cyclin K,DDB1 (CRL4B),Immunoblot densitometry of cyclin K levels,A375,197,nM,2.0,,,,JVTYTNXXRWZBHG-UHFFFAOYSA-N,OPSIN,,JVTYTNXXRWZBHG
"False, EC50",10.1038/s41420-023-01754-x,CU-0906,,,,cyclin K,DDB1 (CRL4B),Immunoblot densitometry of cyclin K levels,A375,333,nM,2.0,,,,,,,
True,10.1038/s41467-024-44698-1,SJ0040,"N-(2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)-3-methylbenzamide",O=C1NC(CCC1N1C(C2=CC=C(C=C2C1)NC(C1=CC(=CC=C1)C)=O)=O)=O,OPSIN,IKZF1,CRBN,HiBiT assay,Jurkat,,,,<10,24.0,10 μM,HKQXTORGXDGFIQ-UHFFFAOYSA-N,OPSIN,,HKQXTORGXDGFIQ
True,10.1038/s41467-024-44698-1,SJ7095,"N-((2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-4-yl)methyl)-4-fluorobenzamide",O=C1NC(CCC1N1C(C2=CC=CC(=C2C1)CNC(C1=CC=C(C=C1)F)=O)=O)=O,OPSIN,CK1α,CRBN,immunoblotting,MOLM-13,15,nM,4,,,,QYERRCYEYNDQFV-UHFFFAOYSA-N,OPSIN,,QYERRCYEYNDQFV
True,10.1038/s41467-024-44698-1,lenalidomide,"3-(7-amino-3-oxo-1H-isoindol-2-yl)piperidine-2,6-dione",C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,PUBCHEM,CK1α,CRBN,HiBiT assay,HEK293,> 10000,nM,4,,,,GOTYRUGSSMKFNF-UHFFFAOYSA-N,PUBCHEM,PUBCHEM,GOTYRUGSSMKFNF
True,10.1038/s41467-024-44698-1,SJ0040,"N-(2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)-3-methylbenzamide",O=C1NC(CCC1N1C(C2=CC=C(C=C2C1)NC(C1=CC(=CC=C1)C)=O)=O)=O,OPSIN,CK1α,CRBN,HiBiT assay,HEK293,10,nM,4,,,,HKQXTORGXDGFIQ-UHFFFAOYSA-N,OPSIN,,HKQXTORGXDGFIQ
True,10.1038/s41467-024-44698-1,SJ7095,"N-((2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-4-yl)methyl)-4-fluorobenzamide",O=C1NC(CCC1N1C(C2=CC=CC(=C2C1)CNC(C1=CC=C(C=C1)F)=O)=O)=O,OPSIN,CK1α,CRBN,HiBiT assay,HEK293,35,nM,4,,,,QYERRCYEYNDQFV-UHFFFAOYSA-N,OPSIN,,QYERRCYEYNDQFV
True,10.1038/s41467-024-44698-1,SJ0040,"N-(2-(2,6-dioxopiperidin-3-yl)-1-oxoisoindolin-5-yl)-3-methylbenzamide",O=C1NC(CCC1N1C(C2=CC=C(C=C2C1)NC(C1=CC(=CC=C1)C)=O)=O)=O,OPSIN,CK1α,CRBN,immunoblotting,MOLM-13,11,nM,4,88,,,HKQXTORGXDGFIQ-UHFFFAOYSA-N,OPSIN,,HKQXTORGXDGFIQ
True,10.1038/s41467-024-44698-1,lenalidomide,"3-(7-amino-3-oxo-1H-isoindol-2-yl)piperidine-2,6-dione",C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,PUBCHEM,IKZF1,CRBN,HiBiT assay,Jurkat,,,,64.5,24.0,10 μM,GOTYRUGSSMKFNF-UHFFFAOYSA-N,PUBCHEM,PUBCHEM,GOTYRUGSSMKFNF
True,10.1038/s41467-024-44698-1,SJ3149,"3-(5-(benzo[d]isoxazol-3-ylamino)-1-oxoisoindolin-2-yl)piperidine-2,6-dione",O1N=C(C2=C1C=CC=C2)NC=2C=C1CN(C(C1=CC2)=O)C2C(NC(CC2)=O)=O,OPSIN,IKZF1,CRBN,HiBiT assay,Jurkat,,,,<10,24.0,10 μM,AJUZTJBGJWQZFW-UHFFFAOYSA-N,OPSIN,,AJUZTJBGJWQZFW
True,10.1038/s41467-025-58431-z,5,,,,IKZF1,CRBN,HiBiT degradation assay,HEK293,> 10000,nM,6,5,6,,,,,
True,10.1038/s41467-025-58431-z,7,,,,IKZF2,CRBN,HiBiT degradation assay,HEK293,,,6,38,6,,,,,
True,10.1038/s41467-025-58431-z,8,,,,IKZF2,CRBN,HiBiT degradation assay,HEK293,,,6,33,6,,,,,
True,10.1038/s41467-025-58431-z,PVTX-405,"(3S)-3-[1'-[[3-(1-methylpyrazol-4-yl)phenyl]methyl]-6-oxospiro[2,8-dihydrofuro[2,3-e]isoindole-3,4'-piperidine]-7-yl]piperidine-2,6-dione",CN1C=C(C=N1)C2=CC=CC(=C2)CN3CCC4(CC3)COC5=C4C=CC6=C5CN(C6=O)[C@H]7CCC(=O)NC7=O,PUBCHEM,IKZF2,CRBN,FACS,Jurkat,6.3,nM,24,65,24,,SITNTOVOBBQZJQ-VWLOTQADSA-N,PUBCHEM,PUBCHEM,SITNTOVOBBQZJQ
True,10.1038/s41467-025-58431-z,DKY709,"3-[6-(1-benzylpiperidin-4-yl)-3-oxo-1H-isoindol-2-yl]piperidine-2,6-dione",C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC(=C3)C4CCN(CC4)CC5=CC=CC=C5,PUBCHEM,GSPT1,CRBN,HiBiT degradation assay,HEK293,> 10000,nM,6,16,6,,OMISHRJQMYQPMG-UHFFFAOYSA-N,PUBCHEM,PUBCHEM,OMISHRJQMYQPMG
True,10.1038/s41467-025-58431-z,16b,,,,SALL4,CRBN,HiBiT degradation assay,HEK293,>1000,nM,6,27,6,,,,,
True,10.1038/s41467-025-58431-z,11,,,,IKZF2,CRBN,HiBiT degradation assay,HEK293,>1000,nM,6,39,6,,,,,
True,10.1038/s41467-025-58431-z,9,,,,IKZF2,CRBN,HiBiT degradation assay,HEK293,,,6,17,6,,,,,
