Verification_Results,Record_ID,Compound_ID,Compound_Name,SMILES,StdInChl,StdInChIKey,Degradation_Target,Recruiter,Recruiter_UniProtID,Cell_Line,Assay,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,DOI,Connectivity_Key
False Negative,1261,1080,21,O=C1CCC(N2CC3=C(C=CC(NC4=NN=C5C=CC=CC54)=C3)C2=O)C(=O)N1,"InChI=1S/C20H17N5O3/c26-17-8-7-16(19(27)22-17)25-10-11-9-12(5-6-13(11)20(25)28)21-18-14-3-1-2-4-15(14)23-24-18/h1-6,9,14,16H,7-8,10H2,(H,21,24)(H,22,26,27)",DFWFWUACKACIKL-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,2,nM,,89,24.0,10 μM,10.1021/acsmedchemlett.4c00250,DFWFWUACKACIKL
Image,1262,1081,23,O=C1CCC(N2CC3=C(C=CC(NC4=NOC5C=C(F)C=CC45)=C3)C2=O)C(=O)N1,"InChI=1S/C20H17FN4O4/c21-11-1-3-14-16(8-11)29-24-18(14)22-12-2-4-13-10(7-12)9-25(20(13)28)15-5-6-17(26)23-19(15)27/h1-4,7-8,14-16H,5-6,9H2,(H,22,24)(H,23,26,27)",MSUPGNBTTYIWAD-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,4,nM,,95,24.0,10 μM,10.1021/acsmedchemlett.4c00250,MSUPGNBTTYIWAD
Image,321,302,13,CC1=CC(C(=O)NC2=CC3=C(C=C2)C(=O)N(C2CCC(=O)NC2=O)C3)=CC=C1,"InChI=1S/C21H19N3O4/c1-12-3-2-4-13(9-12)19(26)22-15-5-6-16-14(10-15)11-24(21(16)28)17-7-8-18(25)23-20(17)27/h2-6,9-10,17H,7-8,11H2,1H3,(H,22,26)(H,23,25,27)",HKQXTORGXDGFIQ-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,8,nM,,88,24.0,10 μM,10.1021/acsmedchemlett.4c00250,HKQXTORGXDGFIQ
Image,339,319,14,CC1=CC=C(C(=O)NC2=CC3=C(C=C2)C(=O)N(C2CCC(=O)NC2=O)C3)C=C1,"InChI=1S/C21H19N3O4/c1-12-2-4-13(5-3-12)19(26)22-15-6-7-16-14(10-15)11-24(21(16)28)17-8-9-18(25)23-20(17)27/h2-7,10,17H,8-9,11H2,1H3,(H,22,26)(H,23,25,27)",XHFMAWKVKSEQSG-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,7,nM,,89,24.0,10 μM,10.1021/acsmedchemlett.4c00250,XHFMAWKVKSEQSG
False Negative,340,320,12,CC1=CC=C(C(=O)NC2=CC3=C(C=C2)C(=O)N(C2CCC(=O)NC2=O)C3=O)C=C1,"InChI=1S/C21H17N3O5/c1-11-2-4-12(5-3-11)18(26)22-13-6-7-14-15(10-13)21(29)24(20(14)28)16-8-9-17(25)23-19(16)27/h2-7,10,16H,8-9H2,1H3,(H,22,26)(H,23,25,27)",IVMUUHKIZMAKOC-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,>10000,nM,,38,24.0,10 μM,10.1021/acsmedchemlett.4c00250,IVMUUHKIZMAKOC
Image,341,321,11,CC1=CC=C(C(=O)NC2=CC3=C(C=C2)CN(C2CCC(=O)NC2=O)C3=O)C=C1,"InChI=1S/C21H19N3O4/c1-12-2-4-13(5-3-12)19(26)22-15-7-6-14-11-24(21(28)16(14)10-15)17-8-9-18(25)23-20(17)27/h2-7,10,17H,8-9,11H2,1H3,(H,22,26)(H,23,25,27)",PGSLSLNXMKCQFN-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,>10000,nM,,10,24.0,10 μM,10.1021/acsmedchemlett.4c00250,PGSLSLNXMKCQFN
Image,413,381,15,CC1=CC=CC=C1C(=O)NC1=CC2=C(C=C1)C(=O)N(C1CCC(=O)NC1=O)C2,"InChI=1S/C21H19N3O4/c1-12-4-2-3-5-15(12)19(26)22-14-6-7-16-13(10-14)11-24(21(16)28)17-8-9-18(25)23-20(17)27/h2-7,10,17H,8-9,11H2,1H3,(H,22,26)(H,23,25,27)",YDKGAFLLEDYAIB-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,28,nM,,80,24.0,10 μM,10.1021/acsmedchemlett.4c00250,YDKGAFLLEDYAIB
Image,420,387,24,CC1=CC2ON=C(NC3=CC4=C(C=C3)C(=O)N(C3CCC(=O)NC3=O)C4)C2C=C1,"InChI=1S/C21H20N4O4/c1-11-2-4-15-17(8-11)29-24-19(15)22-13-3-5-14-12(9-13)10-25(21(14)28)16-6-7-18(26)23-20(16)27/h2-5,8-9,15-17H,6-7,10H2,1H3,(H,22,24)(H,23,26,27)",NCGUNOWSSSLNKH-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,1,nM,,94,24.0,10 μM,10.1021/acsmedchemlett.4c00250,NCGUNOWSSSLNKH
False Negative,547,505,10,CN(C(=O)C1=CC=CC=C1)C1=CC2=C(C=C1)C(=O)N(C1CCC(=O)NC1=O)C2,"InChI=1S/C21H19N3O4/c1-23(20(27)13-5-3-2-4-6-13)15-7-8-16-14(11-15)12-24(21(16)28)17-9-10-18(25)22-19(17)26/h2-8,11,17H,9-10,12H2,1H3,(H,22,25,26)",MYMJVTWBKDUFPG-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,>10000,nM,,12,24.0,10 μM,10.1021/acsmedchemlett.4c00250,MYMJVTWBKDUFPG
Image,686,633,19,COC1=CC(C(=O)NC2=CC3=C(C=C2)C(=O)N(C2CCC(=O)NC2=O)C3)=CC=C1,"InChI=1S/C21H19N3O5/c1-29-15-4-2-3-12(10-15)19(26)22-14-5-6-16-13(9-14)11-24(21(16)28)17-7-8-18(25)23-20(17)27/h2-6,9-10,17H,7-8,11H2,1H3,(H,22,26)(H,23,25,27)",MNOPHTXOYIDKKA-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,6,nM,,90,24.0,10 μM,10.1021/acsmedchemlett.4c00250,MNOPHTXOYIDKKA
Image,824,761,18,N#CC1=CC(C(=O)NC2=CC3=C(C=C2)C(=O)N(C2CCC(=O)NC2=O)C3)=CC=C1,"InChI=1S/C21H16N4O4/c22-10-12-2-1-3-13(8-12)19(27)23-15-4-5-16-14(9-15)11-25(21(16)29)17-6-7-18(26)24-20(17)28/h1-5,8-9,17H,6-7,11H2,(H,23,27)(H,24,26,28)",LRPSTRPEQAKYBN-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,15,nM,,88,24.0,10 μM,10.1021/acsmedchemlett.4c00250,LRPSTRPEQAKYBN
Image,1053,917,LC-02-047-P2,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(Cl)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C19H14ClN5O3/c20-15-5-6-25-17(22-15)13(8-21-25)10-1-2-12-11(7-10)9-24(19(12)28)14-3-4-16(26)23-18(14)27/h1-2,5-8,14H,3-4,9H2,(H,23,26,27)/t14-/m0/s1",DMUSJBLCTPEHPQ-AWEZNQCLSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,50,,,10.1021/jacsau.4c00762,DMUSJBLCTPEHPQ
Image,1054,918,LC-02-104,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NC6=CC=C7OCOC7=C6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C26H20N6O5/c33-23-6-4-19(25(34)30-23)31-12-15-9-14(1-3-17(15)26(31)35)18-11-27-32-8-7-22(29-24(18)32)28-16-2-5-20-21(10-16)37-13-36-20/h1-3,5,7-11,19H,4,6,12-13H2,(H,28,29)(H,30,33,34)/t19-/m0/s1",BIRKQAVFJFRNPQ-IBGZPJMESA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,0,,,10.1021/jacsau.4c00762,BIRKQAVFJFRNPQ
Image,1055,919,LC-02-135,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NC6CCC(F)(F)CC6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C25H24F2N6O3/c26-25(27)8-5-16(6-9-25)29-20-7-10-33-22(30-20)18(12-28-33)14-1-2-17-15(11-14)13-32(24(17)36)19-3-4-21(34)31-23(19)35/h1-2,7,10-12,16,19H,3-6,8-9,13H2,(H,29,30)(H,31,34,35)/t19-/m0/s1",KOYRQYHKBOGVHK-IBGZPJMESA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,0,,,10.1021/jacsau.4c00762,KOYRQYHKBOGVHK
Image,1056,920,LC-02-119,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NC6CCCCC6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C25H26N6O3/c32-22-9-8-20(24(33)29-22)30-14-16-12-15(6-7-18(16)25(30)34)19-13-26-31-11-10-21(28-23(19)31)27-17-4-2-1-3-5-17/h6-7,10-13,17,20H,1-5,8-9,14H2,(H,27,28)(H,29,32,33)/t20-/m0/s1",UYDLBNIXPOLYLS-FQEVSTJZSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,9,,,10.1021/jacsau.4c00762,UYDLBNIXPOLYLS
Image,1057,921,LC-02-120,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NC6CCOCC6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C24H24N6O4/c31-21-4-3-19(23(32)28-21)29-13-15-11-14(1-2-17(15)24(29)33)18-12-25-30-8-5-20(27-22(18)30)26-16-6-9-34-10-7-16/h1-2,5,8,11-12,16,19H,3-4,6-7,9-10,13H2,(H,26,27)(H,28,31,32)/t19-/m0/s1",GCUFXMIQFJJOPR-IBGZPJMESA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,14,,,10.1021/jacsau.4c00762,GCUFXMIQFJJOPR
Image,1058,922,LC-02-116,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NCC6=CC=CC=C6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C26H22N6O3/c33-23-9-8-21(25(34)30-23)31-15-18-12-17(6-7-19(18)26(31)35)20-14-28-32-11-10-22(29-24(20)32)27-13-16-4-2-1-3-5-16/h1-7,10-12,14,21H,8-9,13,15H2,(H,27,29)(H,30,33,34)/t21-/m0/s1",YGLDMGSRTJAXRL-NRFANRHFSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,30,,,10.1021/jacsau.4c00762,YGLDMGSRTJAXRL
Image,1059,923,LC-02-117,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NCCC6=CC=CC=C6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C27H24N6O3/c34-24-9-8-22(26(35)31-24)32-16-19-14-18(6-7-20(19)27(32)36)21-15-29-33-13-11-23(30-25(21)33)28-12-10-17-4-2-1-3-5-17/h1-7,11,13-15,22H,8-10,12,16H2,(H,28,30)(H,31,34,35)/t22-/m0/s1",IWELENJZEKXIMC-QFIPXVFZSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,0,,,10.1021/jacsau.4c00762,IWELENJZEKXIMC
Image,1060,924,LC-02-148,O=C1CC[C@H](N2CC3=CC(C4=C5N=C(NCCN6CCOCC6)C=CN5N=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C25H27N7O4/c33-22-4-3-20(24(34)29-22)31-15-17-13-16(1-2-18(17)25(31)35)19-14-27-32-7-5-21(28-23(19)32)26-6-8-30-9-11-36-12-10-30/h1-2,5,7,13-14,20H,3-4,6,8-12,15H2,(H,26,28)(H,29,33,34)/t20-/m0/s1",XMQLJWPGJYURGC-FQEVSTJZSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,0,,,10.1021/jacsau.4c00762,XMQLJWPGJYURGC
Image,1362,1171,dCK1α-2,O=C1CCC(N2CC3=CC(C4=NC5=C(Cl)C(CN6CCOCC6)=NN5C=C4)=CC=C3C2=O)C(=O)N1,"InChI=1S/C24H23ClN6O4/c25-21-18(13-29-7-9-35-10-8-29)28-31-6-5-17(26-22(21)31)14-1-2-16-15(11-14)12-30(24(16)34)19-3-4-20(32)27-23(19)33/h1-2,5-6,11,19H,3-4,7-10,12-13H2,(H,27,32,33)",XIQNTJXNMQHUHV-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,Western Blot,146,nM,,84,,,10.1021/jacsau.4c00762,XIQNTJXNMQHUHV
Image,387,358,LC-02-105,CC1=CC=C(NC2=NC3=C(C4=CC=C5C(=O)N([C@H]6CCC(=O)NC6=O)CC5=C4)C=NN3C=C2)C=C1Cl,"InChI=1S/C26H21ClN6O3/c1-14-2-4-17(11-20(14)27)29-22-8-9-33-24(30-22)19(12-28-33)15-3-5-18-16(10-15)13-32(26(18)36)21-6-7-23(34)31-25(21)35/h2-5,8-12,21H,6-7,13H2,1H3,(H,29,30)(H,31,34,35)/t21-/m0/s1",FVQQKZPSORNQPE-NRFANRHFSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,68,,,10.1021/jacsau.4c00762,FVQQKZPSORNQPE
Image,737,684,LC-02-121,COC1=CC=C(NC2=NC3=C(C4=CC=C5C(=O)N([C@H]6CCC(=O)NC6=O)CC5=C4)C=NN3C=C2)C=C1C,"InChI=1S/C27H24N6O4/c1-15-11-18(4-7-22(15)37-2)29-23-9-10-33-25(30-23)20(13-28-33)16-3-5-19-17(12-16)14-32(27(19)36)21-6-8-24(34)31-26(21)35/h3-5,7,9-13,21H,6,8,14H2,1-2H3,(H,29,30)(H,31,34,35)/t21-/m0/s1",LIRALDJVEGMUCK-NRFANRHFSA-N,CK1α,CRBN,Q96SW2,,Western Blot,>100,nM,,1,,,10.1021/jacsau.4c00762,LIRALDJVEGMUCK
Image,851,784,F3C-Le,NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC(C(F)(F)F)=C1,"InChI=1S/C14H12F3N3O3/c15-14(16,17)6-3-7-8(9(18)4-6)5-20(13(7)23)10-1-2-11(21)19-12(10)22/h3-4,10H,1-2,5,18H2,(H,19,21,22)",NSKZOWZDLMSORX-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,HiBit,,,,94.57,,,10.1038/s41467-023-40385-9,NSKZOWZDLMSORX
Image,851,784,F3C-Le,NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC(C(F)(F)F)=C1,"InChI=1S/C14H12F3N3O3/c15-14(16,17)6-3-7-8(9(18)4-6)5-20(13(7)23)10-1-2-11(21)19-12(10)22/h3-4,10H,1-2,5,18H2,(H,19,21,22)",NSKZOWZDLMSORX-UHFFFAOYSA-N,IKZF1,CRBN,Q96SW2,,HiBit,,,,87.72,,,10.1038/s41467-023-40385-9,NSKZOWZDLMSORX
Image,852,785,F3CO-Le,NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC(OC(F)(F)F)=C1,"InChI=1S/C14H12F3N3O4/c15-14(16,17)24-6-3-7-8(9(18)4-6)5-20(13(7)23)10-1-2-11(21)19-12(10)22/h3-4,10H,1-2,5,18H2,(H,19,21,22)",CFLQOYFUGDVTBH-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,945,nM,,76.63,,,10.1038/s41467-023-40385-9,CFLQOYFUGDVTBH
Image,852,785,F3CO-Le,NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC(OC(F)(F)F)=C1,"InChI=1S/C14H12F3N3O4/c15-14(16,17)24-6-3-7-8(9(18)4-6)5-20(13(7)23)10-1-2-11(21)19-12(10)22/h3-4,10H,1-2,5,18H2,(H,19,21,22)",CFLQOYFUGDVTBH-UHFFFAOYSA-N,IKZF1,CRBN,Q96SW2,,,,,,108.6,,,10.1038/s41467-023-40385-9,CFLQOYFUGDVTBH
Image,852,785,F3CO-Le,NC1=C2CN(C3CCC(=O)NC3=O)C(=O)C2=CC(OC(F)(F)F)=C1,"InChI=1S/C14H12F3N3O4/c15-14(16,17)24-6-3-7-8(9(18)4-6)5-20(13(7)23)10-1-2-11(21)19-12(10)22/h3-4,10H,1-2,5,18H2,(H,19,21,22)",CFLQOYFUGDVTBH-UHFFFAOYSA-N,SALL4,CRBN,Q96SW2,,,,,,93.23,,,10.1038/s41467-023-40385-9,CFLQOYFUGDVTBH
Image,856,789,Br-Le,NC1=CC(Br)=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,"InChI=1S/C13H12BrN3O3/c14-6-3-7-8(9(15)4-6)5-17(13(7)20)10-1-2-11(18)16-12(10)19/h3-4,10H,1-2,5,15H2,(H,16,18,19)",IIAHEYPYLVKWSS-UHFFFAOYSA-N,CK1α,CRBN,Q96SW2,,,,,,83.51,,,10.1038/s41467-023-40385-9,IIAHEYPYLVKWSS
