DOI,Compound_Name,IUPAC_Name,SMILES,SMILES_Source,Degradation_Target,Recruiter,Assay,Cell_Line,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,Standard_InChIKey,Standard_InChIKey_Source,IUPAC_Name_Source,Connectivity_Key
10.1039/d3sc04064j,KY02111,"N-(6-chloro-1,3-benzothiazol-2-yl)-3-(3,4-dimethoxyphenyl)propanamide",COC1=C(C=C(C=C1)CCC(=O)NC2=NC3=C(S2)C=C(C=C3)Cl)OC,PUBCHEM,Squalene synthase (SQS; FDFT1),HRD1,Western blot (immunoblot) dose–response,HeLa,1400,nM,18,68,18,,LXFKEVQQSKQXPR-UHFFFAOYSA-N,PUBCHEM,PUBCHEM,LXFKEVQQSKQXPR
10.1021/acschembio.9b00505,SGK3-PROTAC1,"(2S,4R)-1-((S)-2-(tert-butyl)-18-((R)-2-(((6-(4-((2-fluoro-5-methylphenyl)sulfonamido)phenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-yl)oxy)methyl)morpholino)-4-oxo-6,9,12-trioxa-3-azaoctadecanoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",C(C)(C)(C)[C@@H](C(=O)N1[C@@H](C[C@H](C1)O)C(=O)NCC1=CC=C(C=C1)C1=C(N=CS1)C)NC(COCCOCCOCCCCCCN1C[C@@H](OCC1)COC1=C2C(=NC(=N1)C1=CC=C(C=C1)NS(=O)(=O)C1=C(C=CC(=C1)C)F)NN=C2)=O,OPSIN,SGK3,VHL,Western blot (immunoblot),HEK293,<100,nM,,80,8 h,0.3 μM,RTFQFPZKDYMMMJ-RIAKQDHQSA-N,OPSIN,,RTFQFPZKDYMMMJ
10.1021/acs.jmedchem.2c01817,9,"(2S,4S)-1-((S)-2-Cyclohexyl-2-((S)-2-(methylamino)propanamido)acetyl)-4-(3-((5-(((S)-1-((2S,4R)-4-hydroxy-2-(((S)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)carbamoyl)pyrrolidin-1-yl)-3,3-dimethyl-1-oxobutan-2-yl)amino)-5-oxopentyl)oxy)phenoxy)-N-((R)-1,2,3,4-tetrahydronaphthalen-1-yl)pyrrolidine-2-carboxamide",O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@H](C)NC)=O)=O)C[C@@H](OC3=CC(OCCCCC(N[C@H](C(N4C[C@H](O)C[C@H]4C(N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)=O)=O)C(C)(C)C)=O)=CC=C3)C1)N[C@@H]7CCCC8=CC=CC=C87,PAPER,cIAP1,VHL,Western blot densitometry,MM.1S,2.4,nM,16,99,,0.1 μM,SMENADKMMXTZAZ-FMVATYOPSA-N,OPSIN,,SMENADKMMXTZAZ
10.1021/acs.jmedchem.2c01817,9,"(2S,4S)-1-((S)-2-Cyclohexyl-2-((S)-2-(methylamino)propanamido)acetyl)-4-(3-((5-(((S)-1-((2S,4R)-4-hydroxy-2-(((S)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)carbamoyl)pyrrolidin-1-yl)-3,3-dimethyl-1-oxobutan-2-yl)amino)-5-oxopentyl)oxy)phenoxy)-N-((R)-1,2,3,4-tetrahydronaphthalen-1-yl)pyrrolidine-2-carboxamide",O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@H](C)NC)=O)=O)C[C@@H](OC3=CC(OCCCCC(N[C@H](C(N4C[C@H](O)C[C@H]4C(N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)=O)=O)C(C)(C)C)=O)=CC=C3)C1)N[C@@H]7CCCC8=CC=CC=C87,PAPER,cIAP2,VHL,Western blot densitometry,MM.1S,6.2,nM,16,90,,0.1 μM,SMENADKMMXTZAZ-FMVATYOPSA-N,OPSIN,,SMENADKMMXTZAZ
10.1021/acs.jmedchem.2c01817,9,"(2S,4S)-1-((S)-2-Cyclohexyl-2-((S)-2-(methylamino)propanamido)acetyl)-4-(3-((5-(((S)-1-((2S,4R)-4-hydroxy-2-(((S)-1-(4-(4-methylthiazol-5-yl)phenyl)ethyl)carbamoyl)pyrrolidin-1-yl)-3,3-dimethyl-1-oxobutan-2-yl)amino)-5-oxopentyl)oxy)phenoxy)-N-((R)-1,2,3,4-tetrahydronaphthalen-1-yl)pyrrolidine-2-carboxamide",O=C([C@H]1N(C([C@H](C2CCCCC2)NC([C@H](C)NC)=O)=O)C[C@@H](OC3=CC(OCCCCC(N[C@H](C(N4C[C@H](O)C[C@H]4C(N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)=O)=O)C(C)(C)C)=O)=CC=C3)C1)N[C@@H]7CCCC8=CC=CC=C87,PAPER,XIAP,VHL,Western blot densitometry,MM.1S,0.7,nM,16,99,,0.1 μM,SMENADKMMXTZAZ-FMVATYOPSA-N,OPSIN,,SMENADKMMXTZAZ
10.1182/bloodadvances.2022008121,UBX-382,"5-[4-[[7-[[3-(2,6-dimethylanilino)-1-methylpyrazolo[3,4-d]pyrimidin-6-yl]amino]-3,4-dihydro-1H-isoquinolin-2-yl]methyl]piperidin-1-yl]-2-(2,6-dioxopiperidin-3-yl)isoindole-1,3-dione",CC1=C(C(=CC=C1)C)NC2=NN(C3=NC(=NC=C23)NC4=CC5=C(CCN(C5)CC6CCN(CC6)C7=CC8=C(C=C7)C(=O)N(C8=O)C9CCC(=O)NC9=O)C=C4)C,PUBCHEM,BTK,CRBN,quantitative western blot (immunoblot),TMD-8,~4,nM,24,,,,WIAKHDZSMZDZQL-UHFFFAOYSA-N,PUBCHEM,PUBCHEM,WIAKHDZSMZDZQL
10.1182/bloodadvances.2022008121,UBX-382,"5-[4-[[7-[[3-(2,6-dimethylanilino)-1-methylpyrazolo[3,4-d]pyrimidin-6-yl]amino]-3,4-dihydro-1H-isoquinolin-2-yl]methyl]piperidin-1-yl]-2-(2,6-dioxopiperidin-3-yl)isoindole-1,3-dione",CC1=C(C(=CC=C1)C)NC2=NN(C3=NC(=NC=C23)NC4=CC5=C(CCN(C5)CC6CCN(CC6)C7=CC8=C(C=C7)C(=O)N(C8=O)C9CCC(=O)NC9=O)C=C4)C,PUBCHEM,BTK,CRBN,western blot (time-course immunoblot),TMD-8,,,,>90,4,100 nM,WIAKHDZSMZDZQL-UHFFFAOYSA-N,PUBCHEM,PUBCHEM,WIAKHDZSMZDZQL
10.1039/d0sc00167h,34 (CST651),,,,CDK6,VHL,western blot quantification,MM.1S,5.1,nM,16,>95,,100 nM,,,,
10.1039/d0sc00167h,34 (CST651),,,,CDK4,VHL,western blot quantification,MM.1S,20,nM,16,,,,,,,
10.1021/acs.jmedchem.2c01149,5,"(2S,4R)-1-((2S)-2-(tert-Butyl)-14,14-difluoro-14-(2-(4-(1-(2-fluorophenyl)-2-(hydroxyamino)-2-oxoethyl)phenyl)pyrimidin-5-yl)-4-oxo-6,9,12-trioxa-3-azatetradecan-1-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,PAPER,HDAC4,VHL,MSD,Jurkat E6-1,28,nM,24,77,24,,CUCLIKLMKDOFAE-PELIQRIMSA-N,OPSIN,,CUCLIKLMKDOFAE
10.1021/acs.jmedchem.2c01149,6,"(2S,4R)-1-((2S)-2-(tert-Butyl)-17,17-difluoro-17-(2-(4-(1-(2-fluorophenyl)-2-(hydroxyamino)-2-oxoethyl)phenyl)pyrimidin-5-yl)-4-oxo-6,9,12,15-tetraoxa-3-azaheptadecan-1-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,PAPER,HDAC4,VHL,MSD,Jurkat E6-1,48,nM,24,82,24,,JCIGJBGCHCAMMB-DGTRGAFGSA-N,OPSIN,,JCIGJBGCHCAMMB
10.1021/acs.jmedchem.2c01149,7,"(2S,4R)-1-((2S)-2-(tert-Butyl)-20,20-difluoro-20-(2-(4-(1-(2-fluorophenyl)-2-(hydroxyamino)-2-oxoethyl)phenyl)pyrimidin-5-yl)-4-oxo-6,9,12,15,18-pentaoxa-3-azaicosan-1-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,PAPER,HDAC4,VHL,MSD,Jurkat E6-1,37,nM,24,83,24,,HCYVFIZSHJPMGM-BZWIJWRHSA-N,OPSIN,,HCYVFIZSHJPMGM
10.1021/acs.jmedchem.2c01149,8,"(2S,4S)-1-((2S)-2-(tert-Butyl)-20,20-difluoro-20-(2-(4-(1-(2-fluorophenyl)-2-(hydroxyamino)-2-oxoethyl)phenyl)pyrimidin-5-yl)-4-oxo-6,9,12,15,18-pentaoxa-3-azaicosanoyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,PAPER,HDAC4,VHL,MSD,Jurkat E6-1,">10,000",nM,24,20,24,,HCYVFIZSHJPMGM-CFCRNHAGSA-N,OPSIN,,HCYVFIZSHJPMGM
10.1021/acs.jmedchem.2c01149,9,"(2S,4R)-1-((3R,20S)-20-(tert-Butyl)-3-methyl-1,18-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16-trioxa-2,5,19-triazahenicosan-21-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CCCN(CCCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,HDAC4,VHL,MSD,Jurkat E6-1,3,nM,24,72,24,,LNVXIMZTYRLPDR-UYNIEJFQSA-N,OPSIN,,LNVXIMZTYRLPDR
10.1021/acs.jmedchem.2c01149,10,"(2S,4R)-1-((3R,23S)-23-(tert-Butyl)-3-methyl-1,21-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19-tetraoxa-2,5,22-triazatetracosan-24-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CCCN(CCCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,HDAC4,VHL,MSD,Jurkat E6-1,4,nM,24,85,24,,QONCFSQPRCINOK-WIIHZIRBSA-N,OPSIN,,QONCFSQPRCINOK
10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,HDAC4,VHL,MSD,Jurkat E6-1,4,nM,24,78,24,,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN,,KBDZFZJFGKYVBZ
10.1021/acs.jmedchem.2c01149,12,"(2R,4S)-1-((3R,26R)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@@H](C(=O)N1C[C@@H](O)C[C@@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,HDAC4,VHL,MSD,Jurkat E6-1,">10,000",nM,24,50,24,,KBDZFZJFGKYVBZ-RBILXPFJSA-N,OPSIN,,KBDZFZJFGKYVBZ
10.1021/acs.jmedchem.2c01149,7,"(2S,4R)-1-((2S)-2-(tert-Butyl)-20,20-difluoro-20-(2-(4-(1-(2-fluorophenyl)-2-(hydroxyamino)-2-oxoethyl)phenyl)pyrimidin-5-yl)-4-oxo-6,9,12,15,18-pentaoxa-3-azaicosan-1-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",Cc1ncsc1-c1ccc(cc1)CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCCOCCOCC(F)(F)c1cnc(nc1)-c1ccc(cc1)C(C(=O)NO)c1ccccc1F)C(C)(C)C,PAPER,HDAC4,VHL,Western blot,Jurkat E6-1,11,nM,24,,,,HCYVFIZSHJPMGM-BZWIJWRHSA-N,OPSIN,,HCYVFIZSHJPMGM
10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,HDAC4,VHL,Western blot,Jurkat E6-1,2,nM,24,,,,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN,,KBDZFZJFGKYVBZ
10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,HDAC4,VHL,Western blot (−elacridar pretreatment),Jurkat E6-1,1.7,nM,,,,,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN,,KBDZFZJFGKYVBZ
10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,HDAC4,VHL,Western blot (+elacridar pretreatment),Jurkat E6-1,1.6,nM,,,,,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN,,KBDZFZJFGKYVBZ
10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,HDAC4,VHL,MSD (−elacridar pretreatment),Neuro-2a,81,nM,24,,,,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN,,KBDZFZJFGKYVBZ
10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,HDAC4,VHL,MSD (+elacridar pretreatment),Neuro-2a,2.3,nM,24,,,,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN,,KBDZFZJFGKYVBZ
10.1021/acs.jmedchem.2c01149,11,"(2S,4R)-1-((3R,26S)-26-(tert-Butyl)-3-methyl-1,24-dioxo-5-propyl-1-(4-(5-trifluoromethyl-1,2,4-oxadiazol-3-yl)phenyl)-10,13,16,19,22-pentaoxa-2,5,25-triazaheptacosan-27-oyl)-4-hydroxy-N-(4-(4-methylthiazol-5-yl)benzyl)pyrrolidine-2-carboxamide",CCCN(CCCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(cc1)-c1scnc1C)C(C)(C)C)C[C@@H](C)NC(=O)c1ccc(cc1)-c1noc(n1)C(F)(F)F,PAPER,HDAC4,VHL,MSD,Q175 mouse cortical neurons,1.1,nM,24,,,,KBDZFZJFGKYVBZ-KLSSUPLUSA-N,OPSIN,,KBDZFZJFGKYVBZ
