DOI,Compound_Name,IUPAC_Name,IUPAC_Name_Source,SMILES,SMILES_Source,Standard_InChIKey,Standard_InChIKey_Source,Degradation_Target,Recruiter,Assay,Cell_Line,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,Connectivity_Key
10.1016/j.ejmech.2024.116904,TMX4128,"tert-butyl (S)-2-(2,3,9-trimethyl-4-(4-(3-oxoprop-1-yn-1-yl)phenyl)-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate ",PAPER,CC1=C(C=2C(=N[C@H](C=3N(C2S1)C(=NN3)C)CC(=O)OC(C)(C)C)C3=CC=C(C=C3)C#CC=O)C,OPSIN,JEJGRWMOILENAT-FQEVSTJZSA-N,OPSIN,BRD4BD2,DCAF16,Flow cytometry(eGFP/mCherry),K562,703,nM,,69,16.0,,JEJGRWMOILENAT
10.1016/j.ejmech.2024.116904,TMX1,"tert-butyl (S,E)-2-(2,3,9-trimethyl-4-(4-(3-oxoprop-1-en-1-yl)phenyl)-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate ",PAPER,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)/C=C/C=O)C,PUBCHEM,SJISOGWQGIVAGX-DUIUGDAFSA-N,PUBCHEM,BRD4BD2,DCAF16,Flow cytometry(eGFP/mCherry),K562,64,nM,,75,16.0,,SJISOGWQGIVAGX
10.1016/j.ejmech.2024.116904,MMH287,"tert-butyl (S)-2-(4-(4-(3-amino-3-oxoprop-1-yn-1-yl)phenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate ",PAPER,NC(C#CC1=CC=C(C=C1)C1=N[C@H](C=2N(C3=C1C(=C(S3)C)C)C(=NN2)C)CC(=O)OC(C)(C)C)=O,OPSIN,MJEQGXPBBWZULV-IBGZPJMESA-N,OPSIN,BRD4BD2,DCAF16,Flow cytometry(eGFP/mCherry),K562,51,nM,,69,16.0,,MJEQGXPBBWZULV
10.1016/j.ejmech.2024.116904,MMH249,"tert-butyl (S)-2-(4-(4-(2-chloroacetamido)phenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate ",PAPER,ClCC(=O)NC1=CC=C(C=C1)C1=N[C@H](C=2N(C3=C1C(=C(S3)C)C)C(=NN2)C)CC(=O)OC(C)(C)C,OPSIN,UJMDKYUESHTQNZ-SFHVURJKSA-N,OPSIN,BRD4BD2,DCAF16,Flow cytometry(eGFP/mCherry),K562,8,nM,,56,16.0,,UJMDKYUESHTQNZ
10.1016/j.ejmech.2024.116904,MMH1,"tert-butyl (S)-2-(4-(4-acrylamidophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate ",PAPER,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)NC(=O)C=C)C,PUBCHEM,AEEGEVCKDJFBRN-IBGZPJMESA-N,OPSIN + PUBCHEM,BRD4BD2,DCAF16,Flow cytometry(eGFP/mCherry),K562,0.3,nM,,95,16.0,,AEEGEVCKDJFBRN
10.1016/j.ejmech.2024.116904,MMH2,"tert-butyl (S)-2-(2,3,9-trimethyl-4-(4-(vinylsulfonamido)phenyl)-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate ",PAPER,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)NS(=O)(=O)C=C)C,PUBCHEM,FZRRESXAODIMQN-IBGZPJMESA-N,OPSIN + PUBCHEM,BRD4BD2,DCAF16,Flow cytometry(eGFP/mCherry),K562,1,nM,,95,16.0,,FZRRESXAODIMQN
10.1021/jacs.3c08307,13-7,,,,,,,BRD9,VCB complex,HiBiT,HEK293T,108,nM,15,,,,
10.1021/jacs.3c08307,13-7,,,,,,,BRD9,VCB complex,HiBiT(with MLN4924),HEK293T,2300,nM,15,,,,
10.1126/science.adk4422,PT-179,"2-(2,6-dioxopiperidin-3-yl)-5-morpholin-4-ylisoindole-1,3-dione",PUBCHEM,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)N4CCOCC4,PUBCHEM,CCCSRHUSXCBFJZ-UHFFFAOYSA-N,PUBCHEM,eGFP-SD36,CRBN,Flow cytometry(eGFP/mCherry),HEK293T,14.3,nM,≥20,,,,CCCSRHUSXCBFJZ
10.1126/science.adk4422,PT-179,"2-(2,6-dioxopiperidin-3-yl)-5-morpholin-4-ylisoindole-1,3-dione",PUBCHEM,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)N4CCOCC4,PUBCHEM,CCCSRHUSXCBFJZ-UHFFFAOYSA-N,PUBCHEM,eGFP-SD40,CRBN,Flow cytometry(eGFP/mCherry),HEK293T,4.5,nM,≥20,,,,CCCSRHUSXCBFJZ
10.1126/science.adk4422,pomalidomide,"4-amino-2-(2,6-dioxopiperidin-3-yl)isoindole-1,3-dione",PUBCHEM,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,PUBCHEM,UVSMNLNDYGZFPF-UHFFFAOYSA-N,PUBCHEM,eGFP-SD40(F18Q),CRBN,Flow cytometry(eGFP/mCherry),HEK293T,0.177,nM,≥20,,,,UVSMNLNDYGZFPF
10.1126/science.adk4422,PT-179,"2-(2,6-dioxopiperidin-3-yl)-5-morpholin-4-ylisoindole-1,3-dione",PUBCHEM,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)N4CCOCC4,PUBCHEM,CCCSRHUSXCBFJZ-UHFFFAOYSA-N,PUBCHEM,eGFP-SD40(F18Q),CRBN,Flow cytometry(eGFP/mCherry),HEK293T,10.1,nM,≥20,,,,CCCSRHUSXCBFJZ
10.1126/science.adk4422,PT-179,"2-(2,6-dioxopiperidin-3-yl)-5-morpholin-4-ylisoindole-1,3-dione",PUBCHEM,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)N4CCOCC4,PUBCHEM,CCCSRHUSXCBFJZ-UHFFFAOYSA-N,PUBCHEM,eGFP-SD56,CRBN,Flow cytometry(eGFP/mCherry),NIH 3T3(mouse 3T3 cells),70,nM,≥20,,,,CCCSRHUSXCBFJZ
10.1126/science.adk4422,PT-179,"2-(2,6-dioxopiperidin-3-yl)-5-morpholin-4-ylisoindole-1,3-dione",PUBCHEM,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)N4CCOCC4,PUBCHEM,CCCSRHUSXCBFJZ-UHFFFAOYSA-N,PUBCHEM,eGFP-SD36,CRBN,Flow cytometry(eGFP/mCherry),NIH 3T3(mouse 3T3 cells),372,nM,≥20,,,,CCCSRHUSXCBFJZ
10.1021/acs.jmedchem.1c02175,CCT369260,"5-((5-Chloro-2-((3R,5S)-4,4-difluoro-3,5-dimethylpiperidin-1-yl)pyrimidin-4-yl)amino)-3-(3-hydroxy-3-methylbutyl)-1-methyl-1,3-dihydro-2H-benzo[d]imidazol-2-one",PAPER,C[C@@H]1CN(C[C@@H](C1(F)F)C)C2=NC=C(C(=N2)NC3=CC4=C(C=C3)N(C(=O)N4CCC(C)(C)O)C)Cl,PUBCHEM,VFNPUAOAEFMXQI-GASCZTMLSA-N,PUBCHEM,BCL6,SIAH1,MSD,OCI-Ly1,54,nM,,99,,,VFNPUAOAEFMXQI
10.1021/acs.jmedchem.1c02175,CCT373566,"(S)-10-((5-Chloro-2-((3R,5S)-3-hydroxy-5-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,C[C@H]1C[C@H](CN(C1)C2=NC=C(C(=N2)NC3=CC4=C(C=C3)N(C(=O)C5=C4N[C@H](C(CO5)(F)F)C6CC6)C)Cl)O,PUBCHEM,GSGDUDAFETZSPM-IATAILRESA-N,PUBCHEM,BCL6,SIAH1,MSD,OCI-Ly1,0.7,nM,,92,,,GSGDUDAFETZSPM
10.1021/acs.jmedchem.1c02175,CCT373567,"(S)-10-((5-Chloro-2-((3S,5R)-3-hydroxy-5-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,C[C@@H]1C[C@@H](CN(C1)C2=NC=C(C(=N2)NC3=CC4=C(C=C3)N(C(=O)C5=C4N[C@H](C(CO5)(F)F)C6CC6)C)Cl)O,PUBCHEM,GSGDUDAFETZSPM-DHZVRSILSA-N,PUBCHEM,BCL6,SIAH1,MSD,OCI-Ly1,>2000,nM,,>30,,,GSGDUDAFETZSPM
10.1021/acs.jmedchem.1c02175,CCT373566,"(S)-10-((5-Chloro-2-((3R,5S)-3-hydroxy-5-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,C[C@H]1C[C@H](CN(C1)C2=NC=C(C(=N2)NC3=CC4=C(C=C3)N(C(=O)C5=C4N[C@H](C(CO5)(F)F)C6CC6)C)Cl)O,PUBCHEM,GSGDUDAFETZSPM-IATAILRESA-N,PUBCHEM,BCL6,SIAH1,MSD,Karpas 422,1,nM,,85,,,GSGDUDAFETZSPM
10.1021/acs.jmedchem.1c02175,CCT373567,"(S)-10-((5-Chloro-2-((3S,5R)-3-hydroxy-5-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,C[C@@H]1C[C@@H](CN(C1)C2=NC=C(C(=N2)NC3=CC4=C(C=C3)N(C(=O)C5=C4N[C@H](C(CO5)(F)F)C6CC6)C)Cl)O,PUBCHEM,GSGDUDAFETZSPM-DHZVRSILSA-N,PUBCHEM,BCL6,SIAH1,MSD,Karpas 422,>2000,nM,,,,,GSGDUDAFETZSPM
10.1021/acs.jmedchem.1c02175,5,"5-((5-Chloro-2-(3-hydroxy-5-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-3-(3-hydroxy-3-methylbutyl)-1-methyl-1,3-dihydro-2H-benzo[d]imidazol-2-one ",PAPER,ClC=1C(=NC(=NC1)N1CC(CC(C1)C)O)NC1=CC2=C(N(C(N2CCC(C)(C)O)=O)C)C=C1,OPSIN,QKIKTQLOBNLUOX-UHFFFAOYSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,35,nM,,89,,,QKIKTQLOBNLUOX
10.1021/acs.jmedchem.1c02175,9a,"(S)-10-((5-Chloro-2-((R)-4,4-difluoro-3-(hydroxymethyl)piperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,ClC=1C(=NC(=NC1)N1C[C@@H](C(CC1)(F)F)CO)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,WAMJDHFDXROKDA-SZNDQCEHSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,2.7,nM,,83,,,WAMJDHFDXROKDA
10.1021/acs.jmedchem.1c02175,3,"5-((5-Chloro-2-(4,4-difluoro-3-hydroxypiperidin-1-yl)pyrimidin-4-yl)amino)-3-(3-hydroxy-3-methylbutyl)-1-methyl-1,3-dihydro-2H-benzo[d]imidazol-2-one",PAPER,ClC=1C(=NC(=NC1)N1CC(C(CC1)(F)F)O)NC1=CC2=C(N(C(N2CCC(C)(C)O)=O)C)C=C1,OPSIN,TUBBGJWQRZERCH-UHFFFAOYSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,275.9,nM,,77.55,,,TUBBGJWQRZERCH
10.1021/acs.jmedchem.1c02175,4,"5-((5-Chloro-2-(4,4-difluoro-3-(hydroxymethyl)piperidin-1-yl)pyrimidin-4-yl)amino)-3-(3-hydroxy-3-methylbutyl)-1-methyl-1,3-dihydro-2H-benzo[d]imidazol-2-one",PAPER,ClC=1C(=NC(=NC1)N1CC(C(CC1)(F)F)CO)NC1=CC2=C(N(C(N2CCC(C)(C)O)=O)C)C=C1,OPSIN,AXXSGZFGJNDDCH-UHFFFAOYSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,80.2,nM,,87.6,,,AXXSGZFGJNDDCH
10.1021/acs.jmedchem.1c02175,8a,"(S)-10-((5-Chloro-2-((S)-4,4-difluoro-3-hydroxypiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,ClC=1C(=NC(=NC1)N1C[C@@H](C(CC1)(F)F)O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,VMGLHACLWFOJMH-PXNSSMCTSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,7.1,nM,,59.57,,,VMGLHACLWFOJMH
10.1021/acs.jmedchem.1c02175,8b,"(S)-10-((5-Chloro-2-((R)-4,4-difluoro-3-hydroxypiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,ClC=1C(=NC(=NC1)N1C[C@H](C(CC1)(F)F)O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,VMGLHACLWFOJMH-XLIONFOSSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,>2000,nM,,<30,,,VMGLHACLWFOJMH
10.1021/acs.jmedchem.1c02175,9b,"(S)-10-((5-Chloro-2-((S)-4,4-difluoro-3-(hydroxymethyl)piperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,ClC=1C(=NC(=NC1)N1C[C@H](C(CC1)(F)F)CO)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,WAMJDHFDXROKDA-QKKBWIMNSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,>2000,nM,,44.73,,,WAMJDHFDXROKDA
10.1021/acs.jmedchem.1c02175,10a,"N-((3R,5S)-1-(5-Chloro-4-(((S)-2-cyclopropyl-3,3-difluoro-7-methyl-6-oxo-1,2,3,4,6,7-hexahydro-[1,4]oxazepino[2,3-c]quinolin-10-yl)amino)pyrimidin-2-yl)-5-methylpiperidin-3-yl)acetamide",PAPER,ClC=1C(=NC(=NC1)N1C[C@@H](C[C@@H](C1)C)NC(C)=O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,YJEGTRPXGMXUTO-IKGLDXFJSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,2.2,nM,,67,,,YJEGTRPXGMXUTO
10.1021/acs.jmedchem.1c02175,10b,"N-((3S,5R)-1-(5-Chloro-4-(((S)-2-cyclopropyl-3,3-difluoro-7-methyl-6-oxo-1,2,3,4,6,7-hexahydro-[1,4]oxazepino[2,3-c]quinolin-10-yl)amino)pyrimidin-2-yl)-5-methylpiperidin-3-yl)acetamide",PAPER,ClC=1C(=NC(=NC1)N1C[C@H](C[C@H](C1)C)NC(C)=O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,YJEGTRPXGMXUTO-OSDILXSKSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,>2000,nM,,<30,,,YJEGTRPXGMXUTO
10.1021/acs.jmedchem.1c02175,11a,"(S)-10-((5-Chloro-2-((3R,5S)-3-(dimethylamino)-5-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,ClC=1C(=NC(=NC1)N1C[C@@H](C[C@@H](C1)C)N(C)C)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,HPQGUGFUKNXBFU-MBSHLRGSSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,9.8,nM,,56.4,,,HPQGUGFUKNXBFU
10.1021/acs.jmedchem.1c02175,11b,"(S)-10-((5-Chloro-2-((3S,5R)-3-(dimethylamino)-5-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,ClC=1C(=NC(=NC1)N1C[C@H](C[C@H](C1)C)N(C)C)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,HPQGUGFUKNXBFU-SKDDIYDISA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,>2000,nM,,<30,,,HPQGUGFUKNXBFU
10.1021/acs.jmedchem.1c02175,13a,"(S)-10-((5-Chloro-2-((3R,5R)-3-hydroxy-5-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-on",PAPER,ClC=1C(=NC(=NC1)N1C[C@@H](C[C@H](C1)C)O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,GSGDUDAFETZSPM-XNVILDLWSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,>2000,nM,,<30,,,GSGDUDAFETZSPM
10.1021/acs.jmedchem.1c02175,13b,"(S)-10-((5-Chloro-2-((3S,5S)-3-hydroxy-5-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,ClC=1C(=NC(=NC1)N1C[C@H](C[C@@H](C1)C)O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,GSGDUDAFETZSPM-ODIUBACGSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,>2000,nM,,<30,,,GSGDUDAFETZSPM
10.1021/acs.jmedchem.1c02175,14a,"(S)-10-((5-chloro-2-((R)-3-hydroxypiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,ClC=1C(=NC(=NC1)N1C[C@@H](CCC1)O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,JUMCUPDSIABGSG-VFNWGFHPSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,>2000,nM,,34.93,,,JUMCUPDSIABGSG
10.1021/acs.jmedchem.1c02175,14b,"(S)-10-((5-chloro-2-((S)-3-hydroxypiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,ClC=1C(=NC(=NC1)N1C[C@H](CCC1)O)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,JUMCUPDSIABGSG-BTYIYWSLSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,>2000,nM,,<30,,,JUMCUPDSIABGSG
10.1021/acs.jmedchem.1c02175,15a,"(S)-10-((5-chloro-2-((S)-3-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one",PAPER,ClC=1C(=NC(=NC1)N1C[C@H](CCC1)C)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,BBIACINZYUBHFF-FPTDNZKUSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,6.3,nM,,85.55,,,BBIACINZYUBHFF
10.1021/acs.jmedchem.1c02175,15b,"(S)-10-((5-Chloro-2-((R)-3-methylpiperidin-1-yl)pyrimidin-4-yl)amino)-2-cyclopropyl-3,3-difluoro-7-methyl-1,2,3,4-tetrahydro-[1,4]oxazepino[2,3-c]quinolin-6(7H)-one ",PAPER,ClC=1C(=NC(=NC1)N1C[C@@H](CCC1)C)NC1=CC=2C3=C(C(N(C2C=C1)C)=O)OCC([C@@H](N3)C3CC3)(F)F,OPSIN,BBIACINZYUBHFF-PEBXRYMYSA-N,OPSIN,BCL6,SIAH1,MSD,OCI-Ly1,32.6,nM,,72.07,,,BBIACINZYUBHFF
10.1038/s41467-025-58431-z,DKY709,"3-[6-(1-benzylpiperidin-4-yl)-3-oxo-1H-isoindol-2-yl]piperidine-2,6-dione",PUBCHEM,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC(=C3)C4CCN(CC4)CC5=CC=CC=C5,PUBCHEM,OMISHRJQMYQPMG-UHFFFAOYSA-N,PUBCHEM,IKZF2,CRBN,HiBiT,HEK293,1.5,nM,6,73,6.0,,OMISHRJQMYQPMG
