DOI,Compound_Name,IUPAC_Name,SMILES,SMILES_Source,Degradation_Target,Recruiter,Assay,Cell_Line,DC50,DC50_units,DC50_h,Dmax,Dmax_h,Dmax_conc,Standard_InChIKey,Standard_InChIKey_Source,IUPAC_Name_Source,Connectivity_Key
10.1038/s41589-023-01409-z,DS17,"(R)-2-((6-(((5,6-dichloro-1H-benzo[d]imidazol-2-yl)methyl)amino)-9-isopropyl-9H-purin-2 yl)amino)butan-1-ol",ClC1=CC2=C(NC(=N2)CNC2=C3N=CN(C3=NC(=N2)N[C@@H](CO)CC)C(C)C)C=C1Cl,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,12,nM,5,,,,NIAQZRDKVVUEMV-LLVKDONJSA-N,OPSIN,,NIAQZRDKVVUEMV
10.1038/s41589-023-01409-z,DS52,"N2-(2-(1H-pyrazol-4-yl)ethyl)-9-isopropyl-N6-(4-(pyridin-2-yl)benzyl)-9H-purine-2,6-diamine",N1N=CC(=C1)CCNC1=NC(=C2N=CN(C2=N1)C(C)C)NCC1=CC=C(C=C1)C1=NC=CC=C1,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,125,nM,5,,,,ZPVLGUHALYPMCR-UHFFFAOYSA-N,OPSIN,,ZPVLGUHALYPMCR
10.1038/s41589-023-01409-z,DS53,"(R)-2-((6-(([2,4'-bipyridin]-5-ylmethyl)amino)-9-isopropyl-9H-purin-2-yl)amino)butan-1-ol",N1=C(C=CC(=C1)CNC1=C2N=CN(C2=NC(=N1)N[C@@H](CO)CC)C(C)C)C1=CC=NC=C1,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,260,nM,5,,,,NPMNSMOOUPMFMV-GOSISDBHSA-N,OPSIN,,NPMNSMOOUPMFMV
10.1038/s41589-023-01409-z,DS57,"N2-(2-(1H-pyrazol-4-yl)ethyl)-N6-((5,6-dichloro-1H-benzo[d]imidazol-2-yl)methyl)-9-(1-methyl-1H-pyrazol-4-yl)-9H-purine-2,6-diamine",N1N=CC(=C1)CCNC1=NC(=C2N=CN(C2=N1)C=1C=NN(C1)C)NCC1=NC2=C(N1)C=C(C(=C2)Cl)Cl,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,587,nM,5,,,,DKIVKUGXNDYWCX-UHFFFAOYSA-N,OPSIN,,DKIVKUGXNDYWCX
10.1038/s41589-023-01409-z,DS58,"(S)-N2-(2-(4-(benzyloxy)phenyl)-1-(4H-1,2,4-triazol-3-yl)ethyl)-9-isopropyl-N6-(4-(pyridin-2 yl)benzyl)-9H-purine-2,6-diamine",C(C1=CC=CC=C1)OC1=CC=C(C=C1)C[C@@H](C1=NN=CN1)NC1=NC(=C2N=CN(C2=N1)C(C)C)NCC1=CC=C(C=C1)C1=NC=CC=C1,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,2020,nM,5,,,,FKXVDBYFBFHXLL-YTTGMZPUSA-N,OPSIN,,FKXVDBYFBFHXLL
10.1038/s41589-023-01409-z,DS59,"5-(((9-isopropyl-6-((4-(pyridin-2-yl)benzyl)amino)-9H-purin-2-yl)amino)methyl)-1,3-dimethyl-1H-pyrazole-4-sulfonamide",C(C)(C)N1C2=NC(=NC(=C2N=C1)NCC1=CC=C(C=C1)C1=NC=CC=C1)NCC1=C(C(=NN1C)C)S(=O)(=O)N,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,566,nM,5,,,,DCNMIIRVWOSZDG-UHFFFAOYSA-N,OPSIN,,DCNMIIRVWOSZDG
10.1038/s41589-023-01409-z,DS61,(R)-2-((6-((4-(2-hydroxyethoxy)benzyl)amino)-9-isopropyl-9H-purin-2-yl)amino)butan-1-ol,OCCOC1=CC=C(CNC2=C3N=CN(C3=NC(=N2)N[C@@H](CO)CC)C(C)C)C=C1,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,917,nM,5,,,,AFLLXNOWMGJTAA-MRXNPFEDSA-N,OPSIN,,AFLLXNOWMGJTAA
10.1038/s41589-023-01409-z,DS65,"(R)-2-((6-((3-(3,4-dichlorophenyl)propyl)amino)-9-isopropyl-9H-purin-2-yl)amino)butan-1-ol",ClC=1C=C(C=CC1Cl)CCCNC1=C2N=CN(C2=NC(=N1)N[C@@H](CO)CC)C(C)C,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,103,nM,5,,,,OLTUKTKUEARKCY-OAHLLOKOSA-N,OPSIN,,OLTUKTKUEARKCY
10.1038/s41589-023-01409-z,DS71,"8-bromo-N-((4,5-difluoro-1H-benzo[d]imidazol-2-yl)methyl)-2-(4-methylpiperazin-1 yl)pyrazolo[1,5-a][1,3,5]triazin-4-amine",BrC=1C=NN2C1N=C(N=C2NCC2=NC1=C(N2)C=CC(=C1F)F)N1CCN(CC1)C,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,4,nM,5,,,,PPZYKPKJVAUJRL-UHFFFAOYSA-N,OPSIN,,PPZYKPKJVAUJRL
10.1038/s41589-023-01409-z,DS67,(R)-2-((6-((3-(3-ethylphenyl)propyl)amino)-9-isopropyl-9H-purin-2-yl)amino)butan-1-ol,C(C)C=1C=C(C=CC1)CCCNC1=C2N=CN(C2=NC(=N1)N[C@@H](CO)CC)C(C)C,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,219,nM,5,,,,ZELMGONKTIAQJA-LJQANCHMSA-N,OPSIN,,ZELMGONKTIAQJA
10.1038/s41589-023-01409-z,DS48,"N2-((3,5-dichloropyridin-4-yl)methyl)-9-isopropyl-N6-(4-(pyridin-2-yl)benzyl)-9H-purine-2,6 diamine",ClC=1C=NC=C(C1CNC1=NC(=C2N=CN(C2=N1)C(C)C)NCC1=CC=C(C=C1)C1=NC=CC=C1)Cl,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,366,nM,5,,,,YENZFYNZBFLBNQ-UHFFFAOYSA-N,OPSIN,,YENZFYNZBFLBNQ
10.1038/s41589-023-01409-z,DS16,"(R)-2-((6-(([1,1'-biphenyl]-4-ylmethyl)amino)-9-isopropyl-9H-purin-2-yl)amino)butan-1-ol",C1(=CC=C(C=C1)CNC1=C2N=CN(C2=NC(=N1)N[C@@H](CO)CC)C(C)C)C1=CC=CC=C1,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,1029,nM,5,,,,BRJSFOFBYVFKCP-OAQYLSRUSA-N,OPSIN,,BRJSFOFBYVFKCP
10.1038/s41589-023-01409-z,DS72,"8-bromo-N-((4,5-difluoro-1H-benzo[d]imidazol-2-yl)methyl)-2-morpholinopyrazolo[1,5-a][1,3,5]triazin-4-amine",BrC=1C=NN2C1N=C(N=C2NCC2=NC1=C(N2)C=CC(=C1F)F)N1CCOCC1,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,6,nM,5,,,,OQEZGFYMQUIYPA-UHFFFAOYSA-N,OPSIN,,OQEZGFYMQUIYPA
10.1038/s41589-023-01409-z,DS68,(R)-3-(3-((2-((1-hydroxybutan-2-yl)amino)-9-isopropyl-9H-purin-6-yl)amino)propyl)phenol,OC[C@@H](CC)NC1=NC(=C2N=CN(C2=N1)C(C)C)NCCCC=1C=C(C=CC1)O,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,571,nM,5,,,,WREYDFZOQPABSD-MRXNPFEDSA-N,OPSIN,,WREYDFZOQPABSD
10.1038/s41467-024-50642-0,LL-K12-18,"1-(4-(6-(((5,6-dichloro-1H-benzo[d]imidazol-2-yl)methyl)amino)-9-ethyl-9H-purin-2-yl)piperazin-1-yl)-2-(diethylamino)ethan-1-one",ClC1=CC2=C(NC(=N2)CNC2=C3N=CN(C3=NC(=N2)N2CCN(CC2)C(CN(CC)CC)=O)CC)C=C1Cl,OPSIN,cyclin K (CCNK),DDB1 (CRL4-RBX1 E3 ligase),western blot,MDA-MB-231,0.38,nM,,,,,OTSBHVNFWKVPMY-UHFFFAOYSA-N,OPSIN,,OTSBHVNFWKVPMY
10.1038/s41589-024-01668-4,MMH2,"tert-butyl (S)-2-(2,3,9-trimethyl-4-(4-(vinylsulfonamido)phenyl)-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate",CC1=C(C=2C(=N[C@H](C=3N(C2S1)C(=NN3)C)CC(=O)OC(C)(C)C)C3=CC=C(C=C3)NS(=O)(=O)C=C)C,OPSIN,BRD4,DCAF16 (CRL4DCAF16),Flow cytometry reporter assay (BRD4BD2-eGFP) measuring eGFP/mCherry ratio,K562,~1,nM,16 h,~95,16 h,,FZRRESXAODIMQN-IBGZPJMESA-N,OPSIN,,FZRRESXAODIMQN
10.1038/s41589-024-01668-4,MMH1,"tert-butyl (S)-2-(4-(4-acrylamidophenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate",C(C=C)(=O)NC1=CC=C(C=C1)C1=N[C@H](C=2N(C3=C1C(=C(S3)C)C)C(=NN2)C)CC(=O)OC(C)(C)C,OPSIN,BRD4,DCAF16 (CRL4DCAF16),Flow cytometry reporter assay (BRD4BD2-eGFP) measuring eGFP/mCherry ratio,K562,~1,nM,16 h,~95,16 h,,AEEGEVCKDJFBRN-IBGZPJMESA-N,OPSIN,,AEEGEVCKDJFBRN
10.1038/s41589-024-01668-4,TMX1,"tert-butyl (S,E)-2-(2,3,9-trimethyl-4-(4-(3-oxoprop-1-en-1-yl)phenyl)-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate",CC1=C(C=2/C(=N/[C@H](C=3N(C2S1)C(=NN3)C)CC(=O)OC(C)(C)C)/C3=CC=C(C=C3)C=CC=O)C,OPSIN,BRD4,DCAF16 (CRL4DCAF16),Flow cytometry reporter assay (BRD4BD2-eGFP) measuring eGFP/mCherry ratio,K562,,,,~80,16 h,,SJISOGWQGIVAGX-FQEVSTJZSA-N,OPSIN,,SJISOGWQGIVAGX
10.1038/s41589-023-01409-z,DS08,(R)-2-((9-isopropyl-6-((naphthalen-2-ylmethyl)amino)-9H-purin-2-yl)amino)butan-1-ol,C(C)(C)N1C2=NC(=NC(=C2N=C1)NCC1=CC2=CC=CC=C2C=C1)N[C@@H](CO)CC,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,724,nM,5,,,,WKFFSBIHJSFZMR-LJQANCHMSA-N,OPSIN,,WKFFSBIHJSFZMR
10.1038/s41589-023-01409-z,DS69,(R)-2-((9-isopropyl-6-((3-(6-methylpyridin-2-yl)propyl)amino)-9H-purin-2-yl)amino)butan-1-ol,C(C)(C)N1C2=NC(=NC(=C2N=C1)NCCCC1=NC(=CC=C1)C)N[C@@H](CO)CC,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,217,nM,5,,,,IYNJPMYEAQNCBL-MRXNPFEDSA-N,OPSIN,,IYNJPMYEAQNCBL
10.1038/s41589-024-01668-4,GNE11,"tert-butyl (S)-2-(4-(4-(3-aminoprop-1-yn-1-yl)phenyl)-2,3,9-trimethyl-6H-thieno[3,2-f][1,2,4]triazolo[4,3-a][1,4]diazepin-6-yl)acetate",NCC#CC1=CC=C(C=C1)C1=N[C@H](C=2N(C3=C1C(=C(S3)C)C)C(=NN2)C)CC(=O)OC(C)(C)C,OPSIN,BRD4,DCAF16 (CRL4DCAF16),Flow cytometry reporter assay (BRD4BD2-eGFP) measuring eGFP/mCherry ratio,K562,,,,~50,16 h,,PMSPBUOYDPYDPF-FQEVSTJZSA-N,OPSIN,,PMSPBUOYDPYDPF
10.1038/s41589-023-01409-z,WX4,"(R)-2-((6-(((4-(1,3-dioxolan-2-yl)-[2,2'-bipyridin]-5-yl)methyl)amino)-9-isopropyl-9H-purin-2 yl)amino)butan-1-ol",O1C(OCC1)C1=CC(=NC=C1CNC1=C2N=CN(C2=NC(=N1)N[C@@H](CO)CC)C(C)C)C1=NC=CC=C1,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,365,nM,5,,,,JTQIVHHWKGMCSQ-GOSISDBHSA-N,OPSIN,,JTQIVHHWKGMCSQ
10.1038/s41589-023-01409-z,WX3,"(R)-6'-(((2-((1-hydroxybutan-2-yl)amino)-9-isopropyl-9H-purin-6-yl)amino)methyl)-[2,3' bipyridin]-2'(1'H)-one",OC[C@@H](CC)NC1=NC(=C2N=CN(C2=N1)C(C)C)NCC1=CC=C(C(N1)=O)C1=NC=CC=C1,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,23,nM,5,,,,ZZMGLCCXIBNSGN-OAHLLOKOSA-N,OPSIN,,ZZMGLCCXIBNSGN
10.1038/s41589-023-01409-z,DS74,"N-((5,6-dichloro-1H-benzo[d]imidazol-2-yl)methyl)-8-(1-methyl-1H-pyrazol-4-yl)-2 morpholinopyrazolo[1,5-a][1,3,5]triazin-4-amine",ClC1=CC2=C(NC(=N2)CNC2=NC(=NC=3N2N=CC3C=3C=NN(C3)C)N3CCOCC3)C=C1Cl,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,51,nM,5,,,,RSUMIRUUOWUKDK-UHFFFAOYSA-N,OPSIN,,RSUMIRUUOWUKDK
10.1038/s41589-023-01409-z,DS73,"8-bromo-N-((5,6-dimethyl-1H-benzo[d]imidazol-2-yl)methyl)-2-(4-methylpiperazin-1 yl)pyrazolo[1,5-a][1,3,5]triazin-4-amine",BrC=1C=NN2C1N=C(N=C2NCC2=NC1=C(N2)C=C(C(=C1)C)C)N1CCN(CC1)C,OPSIN,cyclin K,DDB1–CUL4–RBX1,HEK293T cyclin K–eGFP reporter assay,HEK293T–Cas9,1,nM,5,,,,PGDRKKXMPSPTSV-UHFFFAOYSA-N,OPSIN,,PGDRKKXMPSPTSV
10.1021/acs.jmedchem.9b02076,27b,"5-((5-chloro-2-(4,4-difluoropiperidin-1-yl)pyrimidin-4-yl)amino)-3-(3-hydroxy-3-methylbutyl)-1-methyl-1,3-dihydro-2H-benzo[d]imidazol-2-one",ClC=1C(=NC(=NC1)N1CCC(CC1)(F)F)NC1=CC2=C(N(C(N2CCC(C)(C)O)=O)C)C=C1,OPSIN,BCL6,,MSD assay,OCI-Ly1,,,,>85,,,WBWCRVDICXCMSW-UHFFFAOYSA-N,OPSIN,,WBWCRVDICXCMSW
10.1021/acs.jmedchem.9b02076,27b,"5-((5-chloro-2-(4,4-difluoropiperidin-1-yl)pyrimidin-4-yl)amino)-3-(3-hydroxy-3-methylbutyl)-1-methyl-1,3-dihydro-2H-benzo[d]imidazol-2-one",ClC=1C(=NC(=NC1)N1CCC(CC1)(F)F)NC1=CC2=C(N(C(N2CCC(C)(C)O)=O)C)C=C1,OPSIN,BCL6,,MSD assay,Karpas 422,,,,>85,,,WBWCRVDICXCMSW-UHFFFAOYSA-N,OPSIN,,WBWCRVDICXCMSW
10.1021/acs.jmedchem.9b02076,27e,"5-((5-chloro-2-(4,4-difluoro-3-(hydroxymethyl)piperidin-1-yl)pyrimidin-4-yl)amino)-3-(3-hydroxy-3-methylbutyl)-1-methyl-1,3-dihydro-2H-benzo[d]imidazol-2-one",ClC=1C(=NC(=NC1)N1CC(C(CC1)(F)F)CO)NC1=CC2=C(N(C(N2CCC(C)(C)O)=O)C)C=C1,OPSIN,BCL6,,MSD assay,OCI-Ly1,,,,>85,,,AXXSGZFGJNDDCH-UHFFFAOYSA-N,OPSIN,,AXXSGZFGJNDDCH
10.1021/acs.jmedchem.9b02076,27e,"5-((5-chloro-2-(4,4-difluoro-3-(hydroxymethyl)piperidin-1-yl)pyrimidin-4-yl)amino)-3-(3-hydroxy-3-methylbutyl)-1-methyl-1,3-dihydro-2H-benzo[d]imidazol-2-one",ClC=1C(=NC(=NC1)N1CC(C(CC1)(F)F)CO)NC1=CC2=C(N(C(N2CCC(C)(C)O)=O)C)C=C1,OPSIN,BCL6,,MSD assay,Karpas 422,,,,>85,,,AXXSGZFGJNDDCH-UHFFFAOYSA-N,OPSIN,,AXXSGZFGJNDDCH
10.1021/acs.jmedchem.9b02076,27e,"5-((5-chloro-2-(4,4-difluoro-3-(hydroxymethyl)piperidin-1-yl)pyrimidin-4-yl)amino)-3-(3-hydroxy-3-methylbutyl)-1-methyl-1,3-dihydro-2H-benzo[d]imidazol-2-one",ClC=1C(=NC(=NC1)N1CC(C(CC1)(F)F)CO)NC1=CC2=C(N(C(N2CCC(C)(C)O)=O)C)C=C1,OPSIN,BCL6,,immunofluorescence assay,SU-DHL-4,,,,>85,,,AXXSGZFGJNDDCH-UHFFFAOYSA-N,OPSIN,,AXXSGZFGJNDDCH
